cliff,n. 悬崖；绝壁
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
shrine,"n. 圣地；神殿；神龛；圣祠
vt. 将…置于神龛内；把…奉为神圣"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
bullets,n.  子弹（bullet的复数形式）
doting,"adj. 溺爱的，偏爱的
v. 宠爱（dote的ing形式）"
fond,adj. 喜欢的；温柔的；宠爱的
engross,vt. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
gush,"n. 涌出；迸发
v. 涌出；迸出"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
insuperable,adj. 不能克服的；无敌的
unconquerable,adj. 克服不了的；不可征服的；压制不了的
ordeal,n. 折磨；严酷的考验；痛苦的经验
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
pouch,"n. 小袋；育儿袋；烟草袋
vi. 成袋状
vt. 使成袋状；把…装入袋中"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
screech,"n. 尖叫声，尖利刺耳的声音；尖声喊叫
vt. 尖着声音讲或喊
vi. 发出尖锐的声音；发出恐惧或痛苦的叫喊声"
shriek,"vt. 尖声发出
vi. 尖叫；促人注意
n. 尖声；尖锐的响声"
stature,n. 身高，身材；（精神、道德等的）高度
height,n. 高地；高度；身高；顶点
undermine,vt. 破坏，渐渐破坏；挖掘地基
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
assess,vt. 评定；估价；对…征税
appraise,vt. 评价，鉴定；估价
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
disdain,"n. 蔑视
vt. 鄙弃"
despise,vt. 轻视，鄙视
espy,vt. 看到；认出；发现
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
glossy,adj. 光滑的；有光泽的
sleek,"adj. 圆滑的；井然有序的
vt. 使…光滑；掩盖
vi. 打扮整洁；滑动"
janitor,"n. 看门人；守卫；门警
n. 清洁工"
doorman,n. 看门人
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
pulpit,n. 讲道坛；高架操纵台；神职人员
lectern,n. 讲台；诵经台
scorch,"n. 烧焦；焦痕
vt. 烧焦；使枯萎；挖苦
vi. 烧焦；枯萎"
singe,"n. 烧焦；烤焦
vt. 烧焦；烤焦
vi. 烧焦；烤焦"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
utensil,n. 用具，器皿
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
bayonet,"n. 刺刀；卡销
vt. 用刺刀刺
vi. 用刺刀；劈刺"
dagger,"n. 匕首，短剑
vt. 用剑刺"
compassion,n. 同情；怜悯
sympathy,n. 同情；慰问；赞同
detain,vt. 拘留；留住；耽搁
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
faction,n. 派别；内讧；小集团；纪实小说
clique,"n. 派系；阀；私党；小圈子
vi. 结党"
hue,n. 色彩；色度；色调；叫声
color,"n. 颜色；肤色；颜料；脸色
vt. 粉饰；给...涂颜色；歪曲
vi. 变色；获得颜色"
luster,"n.  光泽；光彩
vi. 有光泽；发亮
vt. 使有光泽"
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
rave,"n. 咆哮；胡言乱语；热烈赞美
adj. 赞扬的
vt. 咆哮；语无伦次地说
vi. 咆哮；胡言乱语；狂骂"
effervesce,vi. 泡腾；冒泡；兴奋
slay,"vt. 杀害，杀死；使禁不住大笑
vi. 杀死，杀害；残杀"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
voluptuous,adj. 撩人的；骄奢淫逸的；沉溺酒色的
sensuous,adj. 感觉上的，依感观的；诉诸美感的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
concur,vi. 同意；一致；互助
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
denounce,vt. 谴责；告发；公然抨击；通告废除
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
