you,pron. 你；你们
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
teacher,n. 教师；导师
Miss,找不到解释
song,n. 歌曲；歌唱；诗歌；鸣声
yeah,"adv. 是
int. 是"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
dad,n. 爸爸；爹爹
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
why,"int. 哎呀！什么？
adv. 为什么"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
geography,n. 地理；地形
history,n. 历史，历史学；历史记录；来历
maths,n. 数学（等于mathematics）
music,n. 音乐，乐曲
PE,abbr. 体育课，体能训练（physical education）
physical education,"n. 体育教学
 体育教育；体育课；物理教育"
science,n. 科学；技术；学科；理科
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
thirteen,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
old,"adj. 陈旧的，古老的；年老的
n. 古时"
our,pron. 我们的
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
his,pron. 他的
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
be good at,"v. 善于
 擅长；擅长于；擅长做某事"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
city,"n. 城市，都市
adj. 城市的；都会的"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
their,pron. 他们的，她们的；它们的
its,pron. 它的
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
four,"num. 四；四个
adj. 四的；四个的"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
ten,num. 十个，十
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
sixteen,"num. 十六
adj. 十六的，十六个的"
seventeen,"n. 十七，十七个
num. 十七
adj. 十七岁的；十七的，十七个的"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
nineteen,num. 十九
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
thanks,"n. 谢谢（只用复数）
int. 谢谢"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
thank,"n. 感谢
vt. 感谢
int. 谢谢"
Thank you.,找不到解释
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
Mr,abbr. 先生（Mister）
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
happy,adj. 幸福的；高兴的；巧妙的
birthday,n. 生日，诞辰；诞生的日子
Happy birthday!,找不到解释
today,"n. 今天；现今
adv. 今天；现今"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
library,n. 图书馆，藏书室；文库
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
often,adv. 常常，时常
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
with,prep. 用；随着；支持；和…在一起
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
member,n. 成员；会员；议员
aunt,n. 阿姨；姑妈；伯母；舅妈
grandma,n. 奶奶；外婆
grandpa,n. 爷爷；外公
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
photo,n. 照片
of,prep. 关于；属于；…的；由…组成的
week,n. 周，星期
who,pron. 谁；什么人
have,"aux. 已经
vt. 有；让；拿；从事；允许"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
us,pron. 我们
an,art. 一（在元音音素前）
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
bus,"n. 公共汽车
乘公共汽车"
driver,n. 驾驶员；驱动程序；起子；传动器
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
factory,n. 工厂；制造厂；代理店
worker,n. 工人；劳动者；职蚁
farmer,n. 农夫，农民
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
a lot,"n. 许多
adv. 常
 很多；非常；大量"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
thirty,"num. 三十
n. 三十年代
adj. 三十个的"
forty,"n. 四十
adj. 四十的；四十个的"
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
sixty,num. 六十；六十个
seventy,"n. 七十；七十个；七十岁；七十年代
num. 七十
adj. 七十的；七十个的；七十岁的"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
ninety,"n. 九十
adj. 九十的；九十岁的
num. 九十"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
hospital,n. 医院
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
o'clock,abbr. …点钟（等于of the clock）
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
dinner,n. 晚餐，晚宴；宴会；正餐
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
bedtime,"n. 就寝时间
adj. 适于睡前的"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
boy,n. 男孩；男人
cat,n. 猫，猫科动物
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
classroom,n. 教室
thing,n. 事情；东西；事物；情况
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
DVD,找不到解释
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
exercise book,"n. 练习本；练习册；作业本
 练习簿；笔记本；钱一本的练习册"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
recorder,n. 录音机；记录器；记录员；八孔直笛
schoolbag,n. 书包
TV,abbr. 电视（television）
television,n. 电视，电视机；电视业
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
window,n. 窗；窗口；窗户
blackboard,n. 黑板
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
dictionary,n. 字典；词典
door,n. 门；家，户；门口；通道
eraser,n. 橡皮；擦除器； 清除器
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
ruler,n. 尺；统治者； 划线板，划线的人
shelf,n. 架子；搁板；搁板状物；暗礁
woman,n. 妇女；女性；成年女子
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
between,"prep. 在…之间
adv. 在中间"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
look at,"na. 看；考虑
 看着；注视；瞧"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
sit,"vi. 坐；位于
vt. 使就座"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
 扎营；雪堂请侬坐；坐吧"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
zero,"num. 零
n. 零点，零度"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
zebra,"n.  斑马
adj. 有斑纹的"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
coat,"n. 外套
vt. 覆盖…的表面"
computer,n. 计算机；电脑；电子计算机
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
these,"adj. 这些的
pron. 这些"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
many,"pron. 许多；许多人
adj. 许多的"
those,"adj. 那些的
pron. 那些（that的复数）"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
over there,"na. 在那边；在欧洲；在战地
 在那里；在那儿；那时那地"
baseball,n. 棒球；棒球运动
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
juice,n. （水果）汁，液；果汁
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
every,adj. 每一的，每个的；每隔…的
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
granddaughter,n. 孙女；外孙女
grandson,n. 孙子；外孙
husband,"n. 丈夫
vt. 节约地使用（或管理）"
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
wife,n. 妻子，已婚妇女；夫人
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
him,pron. 他（宾格）
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
same ... as ...,找不到解释
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
