barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barley,n. 大麦
barkeep,"n. （美）酒吧间老板；酒吧间招待
vi. （英）开酒吧；在酒吧当侍者"
barefoot,"adj. 赤脚的
adv. 赤着脚地"
bareback,"adj. 无鞍的，不用鞍的
adv. 不用马鞍地；无鞍地"
barefaced,adj. 公然的；厚颜无耻的；不戴面具的
threadbare,adj. 磨破的；衣衫褴褛的；乏味的；俗套的
baseline,n. 基线；底线
baseman,n. 守垒员，垒手
database,n. 数据库，资料库
baseborn,adj. 出身微贱的，庶生的
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
bate,"n. 柔皮剂
vt. 使软化；减少；缓和
vi. 减弱；衰落"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
probate,"n. 遗嘱检验；经认证的遗嘱；遗嘱认证法院管辖范围内的一切事项
adj.  遗嘱认证的
vt.  遗嘱认证；处以缓刑；加以监护；在遗嘱认证法庭证明…精神失常"
batman,n. 勤务兵，传令兵
bathtub,n. 浴缸
bathrobe,n. 浴衣；睡衣
sunbathe,"n. 日光浴；太阳灯浴
vi. 沐日光浴"
bloodbath,n. 大屠杀
bathhouse,n. 澡堂；更衣室；公共浴室
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
bearer,n. 持票人； 承木； 托架；送信人；搬运工人
bearskin,n. 熊皮；熊皮衣
forbear,"n. 祖先
vi. 忍耐；克制
vt. 忍耐；克制"
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
deadbeat,"n. 游手好闲者；赖债不还的人；落魄者
adj. 非周期的；直进式的"
heartbeat,n. 心跳；情感
offbeat,"adj. 离奇的；标新立异的；弱拍的
n. 弱拍"
upbeat,"n. 兴旺；上升；弱拍
adj. 乐观的；上升的"
bedeck,vt. 装饰；修饰
bedlam,n. 混乱，骚乱；精神病院，疯人院
bedrock,n.  基岩；根底；基本原理
bedevil,vt. 使痛苦；虐待；使苦恼
bedridden,adj. 卧床不起的
daybed,n. （美）坐卧两用长椅
hotbed,n. 滋长地，温床
beech,"n. 山毛榉
adj. 山毛榉木材的"
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
bumblebee,n.  大黄蜂
beehive,n. 蜂窝；蜂箱
beeline,n. 直线
beekeeper,n. 养蜂人
beeswax,"n. 蜂蜡
vt. 涂蜜蜡"
bellboy,n. 侍者
belle,n. 美女
bellow,"n. 吼叫声；轰鸣声
vi. 吼叫；怒吼；咆哮
vt. 大声喊叫；大声发出"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
doorbell,n. 门铃
dumbbell,n. 哑铃；蠢人
bethel,n. 圣地；礼拜堂；非国教徒的教堂
abet,vt. 煽动，教唆；支持
gibbet,"n. 绞刑架；绞死；支架
vt. 绞死；吊死；使当众出丑"
bide,"vt. 等待；面临；禁得起
vi. 等待；居住"
turbid,adj. 浑浊的；混乱的；雾重的
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
billow,"vt. 使翻腾
vi. 翻腾
n. 巨浪"
billfold,n. 皮夹子
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
handbill,n. 传单；招贴；广告单
birdcall,n. 鸟叫声；模仿的鸟叫
birdhouse,n. 禽舍；小鸟舍
bluebird,n. 蓝知更鸟（产于北美）
birdcage,n. 鸟笼；鸟笼状物；信号灯；宿舍
jailbird,n. 囚犯；累犯；恶痞
whirlybird,n. 直升飞机
blockade,"n. 阻塞
vt. 封锁"
blockhouse,n. 碉堡；木堡；发射管制台
roadblock,"n. 路障；障碍物
vi. 设置路障"
blockbuster,n. 轰动；巨型炸弹；一鸣惊人者
blueberry,n. 蓝莓； 越橘属的浆果
bluejacket,n. 水兵
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
dreamboat,n. 梦中人；理想人物；爱人
ferryboat,n. 渡船
boatman,n. 船夫；出租船的人
boatload,n. 一条船的货物；船的载货量
lifeboat,n.  救生艇，救生船
sailboat,n. 帆船
powerboat,n. 机动船（等于motorboat）
bombshell,n. 炸弹；突发事件；引起震惊的人或事
bombast,"n. 夸大的言辞
adj. 夸大的"
bombard,"n. 射石炮
vt. 轰炸；炮击"
bomber,n. 轰炸机；投弹手
suborn,vt. 唆使；收买；使作伪证
newborn,"adj. 新生的；再生的
n. 婴儿"
stillborn,adj. 死胎的，生下来已死的
highborn,adj. 出身名门的
firstborn,"n. 长子；初生儿；长女
adj. 头生的；第一胎生的"
fishbowl,"n. 玻璃鱼缸
毫无隐秘的场合"
washbowl,n. 洗脸盆; 洗盆
bowlegged,adj. 弯脚的; 罗圈腿
scatterbrained,adj. 注意力不集中的；浮躁的
brainwash,"n. 洗脑
vt. 对人洗脑；以宣传说服"
brainstorm,"n. 集思广益；头脑风暴；灵机一动
vt. 集体讨论；集思广益以寻找
vi. 集体讨论；动脑筋；出主意"
brainwave,n. 脑电波；灵感
harebrained,adj. 轻率的；粗心的
brainchild,n. 脑力劳动的产物
brainpower,n. 智能；智囊团
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
highbrow,"n. 卖弄知识的人；知识分子
adj. 不切实际的；自炫博学的；知识分子的"
