textbook,n. 教科书，课本
meal plan, 餐券；饮食计划；膳食
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
dorm,n. 宿舍（等于dormitory）
roommate,n. 室友
front desk,"n. 总台
 前台；柜台；总服务台"
information desk,"na. 问讯处
 服务台；问询处；问讯台"
main desk,找不到解释
tutoring center,找不到解释
sister university,找不到解释
bulletin board,"n. 布告栏；告示栏；电子公告栏
 公布栏；公告牌；公告板"
school paper, 文教用纸；校报；校刊
flyer,n. 传单；飞鸟；飞行物；飞跳；孤注一掷
brochure,n. 手册，小册子
desk copy,赠阅本(尤指供教师个人用的赠阅本)
poster,n. 海报，广告；招贴
publicity,n. 宣传，宣扬；公开；广告；注意
guideline,"n. 指导方针
参考"
announcement,n. 公告；宣告；发表；通告
notification,n. 通知；通告； 告示
orientation session,找不到解释
oral presentation, 口头报告；口头陈述；口头发言
newsletter,n. 时事通讯
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
voter,n. 选举人，投票人；有投票权者
voting rate,找不到解释
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
election,n. 选举；当选；选择权；上帝的选拔
general election,"n. 大选；普选
 换届选举；换届普选；美国大选普选"
straw poll,"n. （选举前的）非正式民意测验
 意向性投票；测验民意的投票；测验民意的假投票"
student government,"na. 学生自治会
 学生会；学生政府；会的学生政府"
participation rates,找不到解释
student orientation,找不到解释
campus employment office,找不到解释
career services center,找不到解释
career fair, 招聘会；就业博览会；人才招聘会
classroom-to-cooperation career fair,找不到解释
interview workshop,找不到解释
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
potential applicant, 潜在申请人
candidate,n. 候选人，候补者；应试者
professional reference,找不到解释
recommendation,n. 推荐；建议；推荐信
personal statement, 个人陈述；自传；个人自述
good standing, 申办美国公司良好记录证明；存续任证；良好注册地位
academic interests,找不到解释
part-time position,兼任
part-timers,n. 兼职的人( part-timer的名词复数 )
campus job,找不到解释
internship,n. 实习生；（美）实习期；实习医师职位
teaching assistant,"n. 教学助理
 助教；教师助理；受聘担任教学任务的研究生"
janitor,"n. 看门人；守卫；门警
n. 清洁工"
legwork,n. 外出搜集情况的工作
off-campus,在校外；不住校
tuition fee,"un. 学费
 学习费用；学制与费用；收费"
special circumstance,找不到解释
work-study program, 半工半读
financial assistance, 财政资助；经济援助；经济资助
financial aid,"n. （高等院校的）助学金
 经济资助；财政资助；经济援助"
scholarship,n. 奖学金；学识，学问
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
supervisor,n. 监督人， 管理人；检查员
helpdesk,n. 帮助台；超文本文档帮助信息
human resources,"n. 人力资源；（公司的）人事部
 人力资源部；人力资源部分；人力资源部门"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
extended hours, 延长服务时间；延长服务时间自修区
work order,"un. 工作通知单；工作顺序；工作程序；工序
 工令；工单；工作令"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
paycheck,n. 付薪水的支票，薪水
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
pay period, 工资周期；工资结算周期；付薪周期
payroll,n. 工资单；在册职工人数；工资名单
payroll office,找不到解释
payroll department,"un. 工薪管理部门
 工资部门"
advancement,n. 前进，进步；提升
people skills,"na. 社交技能
 人际关系；人际技巧；人际交往能力"
unemployment,n. 失业；失业率；失业人数
remains,n. 残余；遗骸
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
settlement site,找不到解释
shipwreck,"n. 海难；遇难船
vt. 使失事；使毁灭；使失败"
tomb,"n. 坟墓；死亡
vt. 埋葬"
burial sites,埋葬地点
burial places,找不到解释
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
passage graves,找不到解释
cache,"n. 电脑高速缓冲存储器；贮存物；隐藏处
vt. 隐藏；窖藏
vi. 躲藏"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
prehistory,n. 史前；史前史；（导致事件、危机等的）背景
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
ancestor,n. 始祖，祖先；被继承人
ancient society, 古代社会；马克思与古代社会
ancient history,n. 古代史，<口>刚刚发生但不成为新闻的事，家喻户晓的故事
ancient civilization, 古代文明；古文明；远古文明
lost civilization,找不到解释
artifact,n. 人工制品；手工艺品
ceremonial objects,找不到解释
religious ritual, 宗教仪式；宗教仪轨；宗教典礼
archaeological,adj.  考古学的； 考古学上的
archaeological sites,"un. 古文化遗址
 考古遗址"
archaeological record,找不到解释
archaeological excavation,找不到解释
archaeologist,n. 考古学家
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
excavation,n. 挖掘，发掘
excavation sites,找不到解释
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
trace back,"na. 追溯
 回溯；追溯到；上溯"
fossil fragment,找不到解释
fossil record, 化石记录；化石纪录；成化石的纪录
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
physical evidence,"un. 物理性证据
 有形展示；物证；陷阱边缘"
customer experience, 客户体验；顾客体验；顾客经验
customer loyalty, 顾客忠诚度；客户忠诚；客户忠诚度
customer preference, 客户偏好；顾客偏好；顾客钟意型
customer base,"n. （统称某种产品或服务的）客户
 客户基础；客户群；顾客群"
potential customer,"un. 潜在消费者
 潜在顾客；潜在客户；潜在主顾"
intended audience,"目标受众
阅读对象"
target group,"un. 目标群
 目标群体；对象；目标团体"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
promissory notes,"na. 期票；本票
 票据；二本票；承兑票据"
service standard,"un. 服务标准
 受理标准；我们的服务标准；广迅服务标准"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
feedback,n. 反馈；成果，资料；回复
compensation,n. 补偿；报酬；赔偿金
service recovery, 服务补救；服务修复；补救服务
business management,"un. 企业管理
 商务管理；商业管理；工商管理"
business leader,"un. 企业领导者
 商业领袖；商界领袖；商界领导人"
business owner,"un. 企业主；企业房屋
 企业所有人；企业所有者；企业拥有者"
businessman,n. 商人
business manager,"un. 商务管理程序；商业经理
 业务经理；商务经理；营业部经理"
business representative,"商务代表
营业代表"
business plan, 商业计划书；经营规划；经营计划
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufacturer,n. 制造商； 厂商
organization,n. 组织；机构；体制；团体
establishment,n. 确立，制定；公司；设施
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
private company,"n. 私营企业
 私人公司；私营公司；非上市公司"
administration,n. 管理；行政；实施；行政机构
administrative,adj. 管理的，行政的
marketer,n.  市场商人；市场营销人员
market analyst, 市场分析员；市场分析师；市场分析家
market research,"n. 市场调研；市场调查
 市场研究；市场研究业务；美国市场调查公司"
market place,"n. 市场；集市
 市集；商业中心地；环球金融速递"
market forces,"n. 市场调节作用；市场力量
 市场规率；市场动力；市场的力量"
consumer market,"un. 消费者市场
 消费市场；用户市场；个体消费"
marketing campaign,"un. 促销运动
 营销活动；行销活动；市场宣传活动"
marketing strategy,"un. 销售策略
 营销策略；行销策略；营销战略"
strategic marketing, 战略营销；策略行销；战略市场营销
brand awareness, 品牌知名度；品牌认知；品牌意识
brand loyalty,"un. 商标忠实性
 品牌忠诚度；对品牌的忠实；对牌子忠诚"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
annual budget,"un. 年度预算；年度决算
 每度预算；全年财政预算；年预算表"
cost and benefit, 成本效益；成本与效益；成本与利益
special promotion, 特别促销；特别推介；特别活动
case study,"n. 个案研究；专题研究；案例研究
 案例分析；个案研究法；案例学习"
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
bidder,n. 投标人；出价人；命令者
bidding,n. 投标；出价；命令
equitable,adj. 公平的，公正的；平衡法的
game strategy,找不到解释
ground rules,"un. 场地临时规则；基本法则
 基本规则；基本原则；基本准则"
irrational boom,找不到解释
long-term lease,"un. 长期租约
 长期租赁"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
creature,n. 动物，生物；人；创造物
species,"n.  物种；种类
adj. 物种上的"
native species,"un. 地方种；本地种
 本地物种；原生种；土著种"
invasive species, 入侵物种；入侵种；外来入侵种
threatened species,受胁种
fauna,n. 动物群； 动物区系
megafauna, 巨型动物
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
mammal,n.  哺乳动物
aquatic mammal, 水栖哺乳动物
marine life,"n. 海洋生物
 海洋生态；水中生物；海生物"
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
herbivore,n.  食草动物
grazing animals,找不到解释
prehistoric animals,找不到解释
modern animals,找不到解释
cold-blooded animal,"《英汉医学词典》cold-blooded animal
冷血动物"
invertebrate animals,找不到解释
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
seabird,n.  海鸟（如海鸥，等于seafowl）
physical trait, 体部特征；身体特征
songbird,n. 鸣禽，鸣鸟；女歌手；告密者
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
blowhole,n. （鲸、海豚等的）喷水孔；（隧道等的）通风孔；岩石孔穴； 气泡
forehead,n. 额，前额
skull,n. 头盖骨，脑壳
extremity,n. 极端；绝境；非常手段；手足
skeletal structure,"un. 骨架结构；骸骨构造
 骨骼结构；骨架状微结构；骨的结构"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
hind feet,"后足
后脚
后蹄"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
furry,adj. 毛皮的；盖着毛皮的；似毛皮的
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
organ,n.  器官；机构；风琴；管风琴；嗓音
reside,vi. 住，居住；属于
habitat,n.  栖息地，产地
nature habitat,找不到解释
original habitat,找不到解释
territory,n. 领土，领域；范围；地域；版图
territorial,"n. 地方自卫队士兵
adj. 领土的；区域的；土地的；地方的"
nesting sites,找不到解释
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
dormant state,"un. 休止状态；休眠状态
 待用状态；静止状态；静止态"
mating,"n. （动物等的）交配，交尾；配套；（植物等的）杂交
v. 交配；使配对；使紧密配合（mate的现在分词）"
mating ritual,找不到解释
newborn,"adj. 新生的；再生的
n. 婴儿"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
reproduction,n. 繁殖，生殖；复制；复制品
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
lay egg,找不到解释
breeding,"n. 繁殖；饲养；教养；再生
v. 生产；培育；使…繁殖（breed的ing形式）"
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
thrive,vi. 繁荣，兴旺；茁壮成长
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
chick,"n. 小鸡；小鸟；少妇
adj. 胆小的；懦弱的"
offspring,n. 后代，子孙；产物
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
migration route, 回游路线
migration pattern,洄游型
seasonal migration,"un. 季节性迁移
 季节性回游；迁徙季节；季节迁移"
translocate,vt. 改变……的位置
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
oceangoing,adj. 远洋航行的；海上运输的
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
dynamic soaring,动力翱翔
echolocation,n. 回波定位；回声测距；回声定位能力（鲸和蝙蝠等所具备得一种机能）
forage,"n. 饲料；草料；搜索
vi. 搜寻粮草；搜寻"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
predator,n.  捕食者； 食肉动物；掠夺者
predation,n. 捕食；掠夺
predator-prey relationship,"捕食者与被食者之关系, 捕食-被捕食关系"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
captivity,n. 囚禁；被关
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
defense mechanism,"un. 防卫机理
 防卫机制；防御机制；心理防御机制"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
ingest,vt. 摄取；咽下；吸收；接待
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
digestive system,"n. 消化系统
 肠胃；消化系统所包含的器官；主要系统有消化系统"
digestive organ,"un. 消化器
 消化器官；消化瀑；消化道"
metabolism,n.  新陈代谢
exist,vi. 存在；生存；生活；继续存在
survival,n. 幸存，残存；幸存者，残存物
survival rate,"n. 成活率
 生存率；存活率；留任率"
lifespan,n. 寿命；预期生命期限；预期使用期限
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
over-hunting, 过度狩猎
domestication,n. 驯养；教化
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
rescue,"n. 营救；援救；解救
vt. 营救；援救"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
adaptation,n. 适应；改编；改编本，改写本
symbiotic,adj.  共生的；共栖的
evolution,n. 演变；进化论；进展
evolutionary process,"un. 进化过程；演变过程
 演化过程；演化程序；改良过程"
coevolve,vi. （两种或多种生物）共同进化
natural selection,"n. 自然选择；物竞天择
 自然淘汰；自然选择学说；天择说"
natural variation, 自然变异
biodiversity,n. 生物多样性
biological response,"un. 生物资源；生物效应
 生物反应；生物反应调节剂；生物学反应"
diversification,n. 多样化；变化
conservationist,n. 自然资源保护论者
conservation biologist,找不到解释
marine biologist,"n. 海洋生物学家
 水生物学家"
genus,n. 类，种； 属
herb,n. 香草，药草
dominant plant,优势植物
vegetation,n. 植被；植物，草木；呆板单调的生活
shrub,n. 灌木；灌木丛
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
old-growth forest, 原始森林；老龄林；森林里
prairie,n. 大草原；牧场
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
growth ring,"n. 年轮
 生长轮；生长环；成长环"
flora,n. 植物区系；植物群
plant fiber, 植物纤维；作物纤维；植物纤维类
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
germinate,"vt. 使发芽；使生长
vi. 发芽；生长"
germination,n. 发芽；发生；伟晶作用
flowing cycle,找不到解释
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
pollen,"n.  花粉
vt. 传授花粉给"
pollinate,vt. 对...授粉
pollination,n.  授粉（作用）
pollinator,n. 传粉者，传粉媒介，传粉昆虫；授花粉器
pollination cycle,找不到解释
architect,"n. 建筑师
缔造者"
architectural,adj. 建筑学的；建筑上的；符合建筑法的
city planner, 城市规划师；城市规划经理；城市计画者
functional design,"un. 功能设计
 功能性设计；作用设计；职能设计"
design principle,"un. 设计原理
 设计原则；结构设计原则；拥抱微软的设计原则"
floor plan,"n. 楼层平面图
 楼面平面图；平面布置图；平面配置图"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
residential architecture,居住建筑;居住建筑
public architecture,找不到解释
apartment complex,"na. 公寓大楼
 公寓综合楼；综合性公寓；公寓社区"
residential community, 居住区；住宅社区；居住社区
suburb,n. 郊区；边缘
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
artist,n. 艺术家；美术家（尤指画家）；大师
artistic,adj. 艺术的；风雅的；有美感的
artist studio,找不到解释
ancient artists,找不到解释
individual artist,找不到解释
master artist,找不到解释
artistic vision,找不到解释
artistic style, 艺术风格；艺术家化风格；艺术语体
artwork,n. 艺术品；插图；美术品
art fair, 艺术博览会；博览会直击；艺博会
art supply store,找不到解释
painter,n. 画家；油漆匠
