hemisphere,n. 半球
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
a set of something,找不到解释
sonar,n. 声纳；声波定位仪（等于asdic）
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
voluntarily,adv. 自动地；以自由意志
unconditional,adj. 无条件的；绝对的；无限制的
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
intended,"n. 已订婚者
v. 打算；准备（intend的过去分词）
adj. 故意的，有意的；打算中的"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
enlightened,"v. 启迪（enlighten的过去式）
adj. 开明的；文明的；进步的；被启发的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
sympathetically,adv. 悲怜地，怜悯地；富有同情心地
enthusiast,n. 狂热者，热心家
supernatural,"n. 超自然现象；不可思议的事
adj. 超自然的；神奇的，不可思议的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
navy,"n. 海军
深蓝色的"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
fascinated,"v. 使着迷；使陶醉（fascinate的过去分词）
adj. 着迷的；被深深吸引的"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
extremely,adv. 非常，极其；极端地
jaws,n. 口；狭口；咽喉
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
predator,n.  捕食者； 食肉动物；掠夺者
demonstrate,"vt. 证明；展示；论证
vi. 示威"
incredible,adj. 难以置信的，惊人的
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
live off something,找不到解释
plankton,n. 浮游生物（总称）
flexible,adj. 灵活的；柔韧的；易弯曲的
cartilage,n. 软骨
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
vocation,n. 职业；天职；天命；神召
autobiographical,adj. 自传的；自传体的；自传作家的
rough it,"na. 胡闹；忍受辛苦
 过艰苦的生活；生活简单；因陋就简地生活"
Virginia City, 弗吉尼亚城 ( 美 )
momentous,adj. 重要的；重大的
shift for oneself,"na. 独立谋生
 自谋生计；自力更生；单独应付"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
livelihood,n. 生计，生活；营生
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
grocery,"n. 食品杂货店
食品杂货"
tiresome,adj. 烦人的，无聊的；令人讨厌的
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
amount to,"v. 合计
 总计；等于；共计"
mining,n. 矿业；采矿
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
pickaxe,"n. 镐；鹤嘴锄
vt. 用鹤嘴锄掘"
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
amuse,vt. 娱乐；消遣；使发笑；使愉快
territory,n. 领土，领域；范围；地域；版图
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
 在印刷中；印出来；在销售中"
eureka,int. 有了！；找到了！
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
enter upon,"na. 动手；入；占有(土地,财产等)
 开始；着手；进入"
publication,n. 出版；出版物；发表
in a nutshell,"na. 极简单地
 简言之；简而言之；总而言之"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
furnish,vt. 提供；供应；装备
commendation,n. 推荐；赞扬；奖状
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
financially,adv. 财政上；金融上
two-way,adj. 双向的；相互的；两路的
passion,n. 激情；热情；酷爱；盛怒
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
risk-free,adj. 无风险的
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
expo,n. 展览会
exposition,n. 博览会；阐述；展览会
industrialist,n. 实业家；工业家；产业工人
exhibitor,n. 展出者；显示者
profession,n. 职业，专业；声明，宣布，表白
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
miss out on,得不到期望中的东西，没得到期望中的东西，错过机会；不能掌握
expertise,n. 专门知识；专门技术；专家的意见
intend,"vi. 有打算
vt. 打算；想要；意指"
prospectus,n. 内容说明书；样张；创办计划书；学校的入学简介
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
scholarship,n. 奖学金；学识，学问
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
aim to do something,找不到解释
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
seminar,n. 讨论会，研讨班
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
respective,adj. 分别的，各自的
get across,"na. 使了解；使通过；使人了解；与(人)冲突
 讲清楚；说明；使被理解"
retrain,"vt. 重新教育；再教育
vi. 再训练；再教育"
available,adj. 可获得的；可购得的；可找到的；有空的
dead-end,"adj. 无出路的；棘手的
vi. 到达尽头"
intention,n. 意图；目的；意向；愈合
prospective,"n. 预期；展望
adj. 未来的；预期的"
employer,n. 雇主，老板
frankly,adv. 真诚地，坦白地
normally,adv. 正常地；通常地，一般地
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
discomfort,"n. 不适，不安；不便之处
vt. 使……不舒服；使……不安"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
vacancy,n. 空缺；空位；空白；空虚
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
jump-start,"vt. 起动；发动
n. 助动启动"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
innovatively,adv. 创新地
creatively,adv. 创造性地；有创造力地
human resources,"n. 人力资源；（公司的）人事部
 人力资源部；人力资源部分；人力资源部门"
application,n. 应用；申请；应用程序；敷用
base ... in,找不到解释
secretarial,adj. 秘书的；书记的；部长的
interpret,"vi. 解释；翻译
vt. 说明；口译"
candidate,n. 候选人，候补者；应试者
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
presentation,n. 展示；描述，陈述；介绍；赠送
spreadsheet,n. 电子制表软件；电子数据表；试算表
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
memo,n. 备忘录
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
enthusiastic,adj. 热情的；热心的；狂热的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
self-motivated,自我激励的
competitive,adj. 竞争的；比赛的；求胜心切的
