hungry,adj. 饥饿的；渴望的；荒年的；不毛的
sleep,"n. 睡眠
vi. 睡，睡觉"
hey,"n. 干草（等于hay）
int. 喂！（引起注意等）；你好！（表示问候）"
turn off,"v. 关掉
 关上；关闭；解雇"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
thirty-one,num. 三十一
thirty-two,num. 三十二
forty,"n. 四十
adj. 四十的；四十个的"
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
o'clock,abbr. …点钟（等于of the clock）
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
hide-and-seek,n. 捉迷藏
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
door,n. 门；家，户；门口；通道
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
ice cream,"n. 冰淇淋
 冰激凌；雪糕；冰激淋"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
rainy,adj. 下雨的；多雨的
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
 拿出；去掉；拿出来"
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
Sunday,n. 星期日；礼拜日
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
Wednesday,n. 星期三
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
Saturday,n. 星期六
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
soon,adv. 快；不久，一会儿；立刻；宁愿
Monday,n. 星期一
Tuesday,n. 星期二
Thursday,n. 星期四
Friday,n. 星期五
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
