cholera,n.  霍乱
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
arise,vi. 出现；上升；起立
massive,adj. 大量的；巨大的，厚重的；魁伟的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
take sb.'s breath away,找不到解释
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
scenery,n. 风景；景色；舞台布景
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
spectacular,adj. 壮观的，惊人的；公开展示的
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
grizzly bear,"n. 灰熊
 棕熊；大灰熊；灰棕熊"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
freezing,adj. 冰冻的；严寒的；冷冻用的
freezing cold, 冰冷；极冷；滴水成冰
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
mall,n. 购物商场；林荫路；铁圈球场
shopping mall,"un. 商业区林荫路
 购物中心；大型购物中心；商场"
prairie,n. 大草原；牧场
anticipate,vt. 预期，期望；占先，抢先；提前使用
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
a bunch of,"det. 一束
 一群；一堆；一串"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
duration,"n. 持续，持续的时间，期间
音长，音延"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
quarry,"n. 采石场；猎物；来源
vt. 挖出；努力挖掘
vi. 费力地找"
idiom,n. 成语，习语；土话
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
anyhow,adv. 总之；无论如何；不管怎样
alongside,"prep. 在……旁边
adv. 在旁边"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
proceed to sth.,找不到解释
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
astonish,vt. 使惊讶
misty,adj. 模糊的；有雾的
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
advertisement,n. 广告，宣传
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
photographer,n. 摄影师；照相师
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
owe sth. to sb.,找不到解释
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
cobblestone,n. 鹅卵石；圆石
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
Halifax,找不到解释
Vancouver,找不到解释
Lake Louise, 莱克路易斯 ( 加 )
Jasper,找不到解释
Toronto,找不到解释
Edmonton,找不到解释
Winnipeg,找不到解释
Ontario,找不到解释
Butchart Gardens,找不到解释
Lake Huron,"n. 休伦湖
 休伦湖畔；休仑湖；晓伦湖"
Quebec City,魁北克市（加拿大城市）
Montreal,找不到解释
Niagara Falls,找不到解释
St Lawrence River,找不到解释
Jean-Philippe,找不到解释
Nova Scotia,"na. 新斯科舍
 新斯科舍省；新斯科细亚省；加拿大新斯科舍省"
technique,n. 技巧，技术；手法
leaflet,n. 小叶；传单
organ,n.  器官；机构；风琴；管风琴；嗓音
toxin,n. 毒素；毒质
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
sense of touch,"un. 触觉
 触摸感；触感；从触觉"
radiation,n. 辐射；发光；放射物
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
millimetre,n. 毫米；公厘
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
electric shock,"n. 触电；电击；电休克
 电震；电击危险；电击触电"
victim,n. 受害人；牺牲品；牺牲者
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
swelled,"v. 膨胀；隆起；增大（swell的过去分词）
adj. 骄傲自大；自负的"
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
blister,"n. 水泡；水疱；气泡；砂眼；起泡剂
vt. 使起水泡；痛打；猛烈抨击
vi. 起水泡"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
fabric,n. 织物；布；组织；构造；建筑物
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
urgent,adj. 紧急的；急迫的
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
paramedic,n. 护理人员；伞兵军医；伞降医务人员
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
bathtub,n. 浴缸
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
bathtub,n. 浴缸
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
mosquito,n. 蚊子
elderly,adj. 上了年纪的；过了中年的；稍老的
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
operator,n. 经营者；操作员；话务员；行家
ambulance,n.  救护车；战时流动医院
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
IV needle,找不到解释
vital signs,"na. 生命特征
 生命体征；生命徵象；生命征象"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
sprain,"n. 扭伤
vt. 扭伤"
ankle,n. 踝关节，踝
bleeding,"n. 出血；渗色
v. 出血；渗出（bleed的ing形式）；感到疼痛
adj. 流血的；同情的"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
steak,n. 牛排；肉排；鱼排
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
help sb. to one's feet,找不到解释
practical,adj. 实际的；实用性的
obstruction,n. 障碍；阻碍；妨碍
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
tightly,adv. 紧紧地；坚固地
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
face up,"v. 面对
 面朝上；正面朝上；面向上"
face down,"n. 同“face off”；摊牌
adv. 面朝下地
 正面朝下；向下；趴着睡"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
manual,"adj. 手工的；体力的
n. 手册，指南"
sleep in,"na. 睡懒觉；(佣人)住在东家家里；睡过头
 迟起床；住在雇主家里；比通常睡得晚"
out of shape,"adj. 变形
 走样；走形；变样"
foggy,adj. 有雾的；模糊的，朦胧的
suburb,n. 郊区；边缘
membership,n. 资格；成员资格；会员身份
Taylor,找不到解释
CPR,abbr. 加拿大太平洋铁路（Canadian Pacific Railways）；现行页面寄存器（Current Page Register）；心肺复苏术（cardiopulmonary resuscitation）
cardiopulmonary resuscitation,"un. 心肺复苏
 心肺复苏术；心肺复苏法；心肺循环复苏术"
mouth-to-mouth rescue breathing,找不到解释
Heimlich manoeuvre, 海姆立克急救法；哈姆立克急救法
