man-made,adj. 人造的；人工的；合成的
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
energy,n.  能量；精力；活力；精神
X-ray,找不到解释
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
compare ... with ...,找不到解释
of all ages,"na. 古往今来的(事情)；老老少少的(人)
 各个年龄；老少皆有；各个年龄段"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
exam,n. 考试；测验
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
instrument,n. 仪器；工具；乐器；手段；器械
musical,"adj. 音乐的；悦耳的
n. 音乐片"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
get into the habit of ...,找不到解释
schoolwork,n. 家庭作业；学校作业
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
instead,adv. 代替；反而；相反
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
community,n. 社区； 群落；共同体；团体
knowledge,n. 知识，学问；知道，认识；学科
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
last word,"na. (起裁决性作用的)最后一句话；定论；最后决定权；完美的事物
 最后遗言；最后的话；最新成就"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
 到来；再来；回心转意"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
no longer,"na. 不再
 已不；再也；再也不"
be angry with sb.,找不到解释
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
truth,n. 真理；事实；诚实；实质
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
at least,"na. 至少
 最低限度；起码；最少"
honest,adj. 诚实的，实在的；可靠的；坦率的
apologise,vi. 道歉（等于apologize）
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
pocket money,"n. 零用钱；常用于英式英语
 零花钱；给小孩零用钱的利与弊；两条牛仔龙"
discuss,vt. 讨论；论述，辩论
thinker,n. 思想家；思想者
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
well-known,adj. 著名的；众所周知的；清楚明白的
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
 陷入困境；陷入麻烦；惹上麻烦"
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
for a time,"na. 暂时
 一度；一时；一段时间"
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
alive,adj. 活着的；活泼的；有生气的
southern,"n. 南方人
adj. 南的；南方的"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
action,n. 行动；活动；功能；战斗；情节
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
memory,n. 记忆，记忆力；内存， 存储器；回忆
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
decision,n. 决定，决心；决议
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
noon,n. 中午；正午；全盛期
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
no way,"na. 无论如何不
 不行；不可能；没门"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
sportsman,n. 运动员；运动家；冒险家
high jump,"n. 跳高
 高跳；跳远；高台跳高"
ability,n. 能力，能耐；才能
hurdling,n. 跳栏赛跑
sportswoman,n. 女运动家；女运动员
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
hurdles,n. 障碍；跨栏；跨栏跑；障碍赛跑（hurdle的复数）
Japan,n. 日本（东亚国家名）
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
sportsperson,运动员
Asian,"n. 亚洲人
adj. 亚洲的；亚洲人的"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suffer from ...,找不到解释
first place,"n. 第一名
 榜首；冠军；一等奖"
stop sb. doing sth.,找不到解释
stop sb. from doing sth.,找不到解释
courage,n. 勇气；胆量
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
website,n. 网站（全球资讯网的主机站）
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
textbook,n. 教科书，课本
mainly,adv. 主要地，大体上
thousands of,"adj. 几千；成千上万
 成千上万的；数以千计的；数千"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
electronic,"adj. 电子的
n. 电子电路；电子器件"
technology,n. 技术；工艺；术语
powerful,"adj. 强大的；强有力的
adv. 很；非常"
memory,n. 记忆，记忆力；内存， 存储器；回忆
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
instructions,n. 指令；说明（instruction的复数形式）
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
lent,n. 大斋节（亦称“齐斋节”，自圣灰星期三开始至复活节前的40天，在此期间进行斋戒和忏悔）
properly,adv. 适当地；正确地；恰当地
look through,"na. 浏览；翻查；对…视而不见；看穿
 仔细查看；翻阅；看一遍"
printing,n. 印刷；印刷术
at a time,"na. 一次(多少)；同时；曾经；连续
 每次；一下子；每一次"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
 用手工；手动；手工的"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
in a way,"na. 在某一点上
 在某种程度上；从某种程度上说；在某点"
compare ... to,找不到解释
introduction,n. 介绍；引进；采用；入门；传入
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
varied,"v. 改变；使多样化（vary的过去式和过去分词形式）
adj. 多变的；各式各样的；杂色的"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
connection,n. 连接；关系；人脉；连接件
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
direction,n. 方向；指导；趋势；用法说明
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
wait and see,"adj. 观望的；观望的；静候
 等着瞧；等着瞧吧；拭目以待"
here we go, 我们开始吧；又来了；我们一起开始吧
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
magical,adj. 魔术的；有魔力的
height,n. 高地；高度；身高；顶点
sailing boat,"n. 帆船
 风帆船；帆板；小帆船"
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
sheep,n. 羊，绵羊；胆小鬼
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
kept,"adj. 受人资助控制的
v. 保持；维持；保管（keep的过去式和过去分词）"
keep sb. away,找不到解释
keep sth. away,找不到解释
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
cut sth. off sth.,找不到解释
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
diary,n. 日志，日记；日记簿
keep a diary,"na. 记日记
 写日记；坚持写日记；坚持记日记"
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
ant,n. 蚂蚁
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
brush sth. off sth.,找不到解释
at the time, 当时；在那时；在那个时候
be surprised at,"v. 惊奇
 对……感到惊奇；对……感到惊讶；对某事感到惊奇"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
relationship,n. 关系；关联
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
salad,n. 色拉；尤指莴苣
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
kangaroo,n. 袋鼠
riding,"n. 骑马；骑术
v. 骑；乘坐（ride的现在分词）"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
you bet,"na. 肯定
 当然；一定，当然；你说的没错"
the thing is,"conj. 目的在于
 最重要的是；关键是；问题还在于"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
difficulty,n. 困难，困境
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
recently,adv. 最近；新近
menu,"n. 菜单
饭菜"
be in with a chance, 有机会
tonight,"n. 今晚
adv. 在今晚"
read out,v. 读出器，读出( readout的过去式和过去分词 ); 大声朗诵，宣读; 读出
winner,n. 胜利者
compared with,"na. 和…比起来
 与……相比；比较；与……相比较"
even though,"na. “even if”的变体
 即使；尽管；虽然"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
protect sth. against sth.,找不到解释
singer,n. 歌手，歌唱家
congratulations,n. 祝贺；恭喜；贺词（congratulation的复数形式）
headmaster,n. 校长
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
factory,n. 工厂；制造厂；代理店
pollute,vt. 污染；玷污；败坏
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
