deadline,n. 截止期限，最后期限
diligence,n. 勤奋，勤勉；注意的程度
din,"n. 喧嚣
vt. 喧闹，絮絮不休地说
vi. 喧闹，絮絮不休地说"
dunce,n. 傻瓜；劣学生
elementary,adj. 基本的；初级的； 元素的
engross,vt. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
expound,"vt. 解释；详细说明
vi. 解释；详细说明"
expulsion,n. 驱逐；开除
fellowship,n. 团体；友谊；奖学金；研究员职位
fieldwork,n. 野外工作；现场工作；野战工事
flagpole,n. 旗竿
forceps,n.  钳子；医用镊子
gist,n. 主旨，要点；依据
guidance,n. 指导，引导；领导
headship,n. 能力；领导者的职位；校长的职位；职务
housemaster,n. 男舍监；舍监
illuminating,"adj. 照亮的，照明的；启蒙的，有启发性的
v. 照明，阐释（illuminate的现在分词形式）"
illustrative,adj. 说明的；作例证的；解说的
industrious,adj. 勤勉的
instill,vt. 徐徐滴入；逐渐灌输
instructive,adj. 有益的；教育性的
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
invigilate,"vt. 监考
vi. 监考；看守"
invigilator,n. 监考人； 监视器
launderette,n. 自助洗衣店
literacy,n. 读写能力；精通文学
marking,"n. 标志；打分；做记号；斑纹
v. 注意；作记号于；给…打分数（mark的ing形式）"
matron,n. 主妇；保姆；妇女；女舍监
mentality,n. 心态； 智力；精神力；头脑作用
microscope,n. 显微镜
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
orientation,n. 方向；定向；适应；情况介绍；向东方
pastel,"n. 粉蜡笔；粉蜡笔画
adj. 柔和的；彩色蜡笔的，粉蜡笔的"
polemic,"n. 争论；辩论者
adj. 好争论的"
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
preschool,"n. 幼儿园，育幼院
adj. 未满学龄的；就学前的，入学前的"
prism,n. 棱镜； 棱柱
rapt,adj. 全神贯注的；入迷的
regent,"n. 摄政王；摄政者；州立大学董事会董事；统治者
adj. 摄政的；统治的"
registrar,n. 登记员；注册主任；专科住院医师
registration,n. 登记；注册；挂号
registry,n. 注册；登记处；挂号处；船舶的国籍
retention,n. 保留；扣留，滞留；记忆力；闭尿
rostrum,n. 讲坛；演讲者；嘴；喙
shorthand,"n. 速记；速记法
adj. 速记法的"
solution,n. 解决方案；溶液；溶解；解答
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
specimen,n. 样品，样本；标本
stationery,n. 文具；信纸
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
studious,adj. 用功的；热心的；专心的；故意的；适于学习的
syllabus,n. 教学大纲，摘要；课程表
uninformed,adj. 无知的；未被通知的；未受教育的；不学无术的
unintelligible,adj. 莫名其妙的；无法了解的
accede,vi. 加入；同意；就任
accomplish,vt. 完成；实现；达到
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
conjecture,"n. 推测；猜想
vt. 推测
vi. 推测；揣摩"
cooperate,vi. 合作，配合；协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
decent,adj. 正派的；得体的；相当好的
dedicate,vt. 致力；献身；题献
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
dilemma,n. 困境；进退两难；两刀论法
disable,vt. 使失去能力；使残废；使无资格
disadvantage,n. 缺点；不利条件；损失
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
earmark,"n. 特征；耳上记号
vt. 在耳朵上做记号；标记"
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
ensure,vt. 保证，确保；使安全
exert,vt. 运用，发挥；施以影响
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
fallible,adj. 易犯错误的；不可靠的
formulate,vt. 规划；用公式表示；明确地表达
freehand,"adj. 徒手画的；不用仪器画的
adv. 徒手画地"
fumble,"n. 摸索；笨拙的处理；漏球
vi. 摸索；笨拙地行动；漏球
vt. 摸索；笨拙地做；漏接"
futility,n. 无用；徒劳；无价值
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
headway,n. 前进；进步；航行速度；间隔时间
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hustle,"n. 推；奔忙；拥挤喧嚷
vt. 催促；猛推；强夺
vi. 赶紧；硬挤过去；骗取财富"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
impel,vt. 推动；驱使；激励
impotent,adj. 无力的；无效的；虚弱的；阳萎的
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
incapacitate,vt. 使无能力；使不能；使不适于
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
mastermind,"vt. 策划
n. 优秀策划者；才子"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
menial,"adj. 卑微的；仆人的；适合仆人做的
n. 仆人；住家佣工；下贱的人"
methodical,adj. 有系统的；有方法的
muse,"n. 沉思；冥想
vt. 沉思；沉思地说
vi. 沉思；凝望"
muster,"vt. 召集；对…进行点名；使振作
n. 集合；检阅；点名册；集合人员
vi. 召集；聚集"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
notify,vt. 通告，通知；公布
operational,adj. 操作的；运作的
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
partake,"vi. 吃，喝；分享；参与；分担；带有某种性质
vt. 分担；分享"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
predicament,n. 窘况，困境；状态
preside,"vi. 主持，担任会议主席
vt. 管理"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
projection,n. 投射；规划；突出；发射；推测
prolong,vt. 延长；拖延
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
propel,vt. 推进；驱使；激励；驱策
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
protracted,"adj. 拖延的
v. 拖延；绘制；伸展（protract的过去分词）"
rectify,vt. 改正；精馏；整流
