fossil man,化石人
muzzle,"n. 枪口，炮口；口套，口络；动物的鼻口
vt. 使…缄默；给…戴口套；封锁…的言论"
freshen,"vt. 使清新；使新鲜；使精神焕发
vi. 显得新鲜；减少咸味；精神饱满"
squall,"n. 暴风；麻烦；高声哭喊；尖叫
vt. 尖声叫着；大声哭喊；起风暴
vi. 嚎啕；尖叫"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
ordnance,n. 军火；大炮；军械署
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
starboard,"n. 右舷
adj. 右舷的
vt. 向右转舵
vi. 向右转舵"
counteract,vt. 抵消；中和；阻碍
steepen,"vt. 使陡峭
vi. 变陡峭"
ballast,"n. 压舱物， 压载物；道渣，碎石
vt. 给…装压舱物；给…铺道渣"
inrush,n. 涌入；侵入；流入
Baltic,"n. 波罗的海
adj. 波罗的海的"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
forefathers,n. 祖先；先人（forefather的复数）
fervently,adv. 热心地；热诚地
curative,"n. 药品；治疗法
adj. 有疗效的；治病的"
astronomical,adj. 天文的，天文学的；极大的
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
ointment,n. 药膏； 油膏
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
indisposition,n. 微恙；不愿意；嫌恶
disgusting,"adj. 令人厌恶的
令人极不能接受的"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
hovercraft,n. 气垫船
Norfolk Broads,诺福克湖区（位于英国）
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
Solent,n. 索伦特海峡（濒临英吉利海峡北侧）
sensation,n. 感觉；轰动；感动
dune,n. （由风吹积而成的）沙丘
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
hovertrain,n. 气垫列车
navigation,n. 航行；航海
sounding,"n. 音响；试探；测探水深
adj. 发出声音的"
fathom,"n. 英寻（测量水深的长度单位）
vt. 看穿；彻底了解；测量…的深度"
porcupine,n.  箭猪，豪猪
dredge,"n. 挖泥船，疏浚机；拖捞网
vt. （用挖泥船等）疏浚；（用拖捞网等）捞取；（在食物上）撒（面粉等）
vi. 疏浚，挖掘；采捞"
expedition,n. 远征；探险队；迅速
physicist,n. 物理学家；唯物论者
magnitude,n. 大小；量级； 震级；重要；光度
topography,n. 地势；地形学；地志
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
rugged,adj. 崎岖的；坚固的；高低不平的；粗糙的
tableland,n. 高原；台地
sediment,n. 沉积；沉淀物
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
colour-blind,"adj. 色盲的
无种族歧视的"
perception,n. 知觉； 感觉；看法；洞察力；获取
comprehend,vt. 理解；包含；由…组成
spatial,adj. 空间的；存在于空间的；受空间条件限制的
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
reminiscence,n. 回忆；怀旧；引起联想的相似事物
tadpole,n. 蝌蚪
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
carrot,"n. 胡萝卜
诱饵"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
lark,"n. 云雀；百灵鸟；欢乐
vi. 骑马玩乐；嬉耍
vt. 愚弄"
ladybird,n. 瓢虫
bulrush,"n. 芦苇；灯心草
vt. 防御"
controversy,n. 争论；论战；辩论
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
Inquisition,找不到解释
perspective,"n. 观点；远景；透视图
adj. 透视的"
despise,vt. 轻视，鄙视
Aristotelian,"n. 亚里士多德学派的人；经验主义者（等于Aristotelean）
adj. 亚里士多德的；亚里士多德哲学的"
Aristotle,n. 亚里士多德
Ptolemy,"托勒密(公元2世纪的古希腊天文学家、地理学家、数学家,地心说的创立者)"
Leaning Tower of Pisa,"n. 比萨斜塔
 义大利比萨斜塔；世界奇景比萨斜塔；距离比萨斜塔"
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
undercurrent,n. 暗流；潜流
theoretical,adj. 理论的；理论上的；假设的；推理的
potentiality,n. 潜力；可能性
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
familiarity,n. 熟悉，精通；亲密；随便
culpable,adj. 有罪的；该责备的；不周到的；应受处罚的
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
nebula,n. 星云；角膜云翳
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
contrivance,n. 发明；发明物；想出的办法；计谋
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
purchasable,adj. 可买的，可收买的
preacher,n. 牧师；传教士；鼓吹者
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
capacity,n. 能力；容量；资格，地位；生产力
democratic,adj. 民主的；民主政治的；大众的
tribal,adj. 部落的；种族的
tribe,n. 部落；族；宗族；一伙
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
savannah,n. 大草原，热带草原（等于savanna）
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
delinquency,n. 行为不良，违法犯罪；失职，怠工
adolescence,n. 青春期
slur,"n. 污点；诽谤；连音符
vi. 含糊地发音；潦草地写字；拖着脚走
vt. 忽视；草率地看过；含糊地念；诋毁"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
disloyalty,n. 不忠实；不义，不贞；背信弃义
spiteful,adj. 怀恨的，恶意的
disillusionment,n. 幻灭；醒悟
evaluation,n. 评价； 评估；估价；求值
infallibility,n. 绝无错误；无过失
resent,vt. 怨恨；愤恨；厌恶
sincerity,n. 真实，诚挚
victorian,找不到解释
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
unreasoning,adj. 未加思量的；不合理的；无理性的；不讲理的
authoritarian,"n. 权力主义者；独裁主义者
adj. 独裁主义的；权力主义的"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
hub,n. 中心；毂；木片
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
oxygen,n.  氧气， 氧
Apollo,n. 阿波罗（太阳神）；美男子
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
permanently,adv. 永久地，长期不变地
fascination,n. 魅力；魔力；入迷
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
chasm,n. 峡谷；裂口；分歧；深坑
canyon,n. 峡谷
disunited,"adj. 分裂的；不和的
v. 使分离（disunite的过去式）"
correspondingly,adv. 相应地，相对地
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
incur,vt. 招致，引发；蒙受
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
administrative,adj. 管理的，行政的
analogous,adj. 类似的； 同功的；可比拟的
overheads,n. 企业的日常管理费用；杂项开支；一般费用（overhead的复数）
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
checker,"n. 检验员；收银员；棋子；方格图案；制止者
vt. 把…画成棋盘形方格图案；使多样化"
foreman,n. 领班；陪审团主席
dividend,n. 红利；股息； 被除数；奖金
unduly,adv. 过度地；不适当地；不正当地
likelihood,n. 可能性，可能
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
imperceptible,adj. 感觉不到的；极细微的
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
ageing,"n. 老化；变老，成熟
adj. 变老的，老化的
v. 变老（age的现在分词）"
odds,n. 几率；胜算；不平等；差别
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
robust,adj. 强健的；健康的；粗野的；粗鲁的
organism,n. 有机体；生物体；微生物
thermodynamics,n. 热力学
moot,"adj. 无实际意义的；未决议的
vt. 提出…供讨论
n. 大会；辩论会；假设案件"
run-down,"n. 刺杀出局；总结
adj. 破败的；衰弱的"
friction,n. 摩擦， 摩擦力
contamination,n. 污染，玷污；污染物
sanitation,n.  环境卫生；卫生设备；下水道设施
sewage,n. 污水；下水道；污物
leakage,n. 泄漏；渗漏物；漏出量
intermittent,adj. 间歇的；断断续续的；间歇性
carbonated,adj. 碳化的，碳酸的；含二氧化碳的
acidic,adj. 酸的，酸性的；产生酸的
alcohol,n. 酒精，乙醇
disinfectant,"n. 消毒剂
adj. 消毒的"
sterilize,vt. 消毒，杀菌；使成不毛；使绝育；使不起作用
ethanol,n.  乙醇， 酒精
bactericidal,adj. 杀菌的
negligible,adj. 微不足道的，可以忽略的
methylated,"adj. 甲基化的
v. 使甲基化( methylate的过去式和过去分词 )"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
inspiration,n. 灵感；鼓舞；吸气；妙计
Kashmir,n. 克什米尔
interweave,vt. （使）交织；织进；（使）混杂
afresh,adv. 重新；再度
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
indescribable,adj. 难以形容的；莫名其妙的；不能用语言表达的
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
yeast,n. 酵母；泡沫；酵母片；引起骚动因素
fathom,"n. 英寻（测量水深的长度单位）
vt. 看穿；彻底了解；测量…的深度"
interminably,adv. 无限地；漫无止境地
winkle,"n. 食用螺
vt. 剔出；费劲找出
vi. 闪耀"
incidentally,adv. 顺便；偶然地；附带地
pertinent,adj. 相关的，相干的；中肯的；切题的
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
inmost,adj. 心底的，内心深处的；最深的
signature,n. 署名；签名；信号
infinity,n. 无穷；无限大；无限距
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
energize,"vt. 激励；使活跃；供给…能量
vi. 活动；用力"
rhythm,n. 节奏；韵律
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
phenomena,n. 现象（phenomenon 的复数 ）
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
trough,n. 水槽，水槽；低谷期；饲料槽；低气压
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
actuality,n. 现状；现实；事实
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
particle,n. 颗粒； 质点；极小量；小品词
maturity,n. 成熟；到期；完备
undulate,"adj. 波动的；起伏的；波浪形的
vt. 波动；使波动；使起伏；使成波浪形
vi. 起伏，波动；震动；呈波浪形"
tremor,n.  震颤；颤动
gravitational,adj.  重力的， 引力的
technique,n. 技巧，技术；手法
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
resentful,adj. 充满忿恨的；厌恶的
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
mahout,n. 象夫；管象人
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
subservient,adj. 屈从的；奉承的；有用的；有帮助的
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
tether,"n. 范围；系链；拴绳
vt. 用绳或链拴住"
ticklish,adj. 不安定的，不稳定的；难对付的；易倒的；易痒的；忌讳的
alarming,"adj. 令人担忧的；使人惊恐的
v. 使惊恐（alarm的ing形式）"
accompaniment,n. 伴奏；伴随物
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
endearing,adj. 可爱的；讨人喜欢的；引起爱情的
epithet,n. 绰号；浑名
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
blandishment,n. 奉承；谄媚；哄诱
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
earthquake,n. 地震；大动荡
slumber,"n. 睡眠；麻木状态；静止状态
vi. 睡眠；蛰伏；麻木
vt. 睡眠；睡着度过"
ninepin,n. 九柱地滚球； （九柱地滚球的）瓶状木柱
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
seismometer,n. 地震仪；地震检波器
penholder,n. 笔插，笔架
legibly,adv. 明了地；易读地
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
wriggle,"vt. 使蠕动；蠕动到；不知不觉地潜入
vi. 蠕动；蜿蜒而行
n. 蠕动；扭动"
bluebottle,n. 矢车菊；青蝇
graph,"n. 图表；曲线图
vt. 用曲线图表示"
graphic,adj. 形象的；图表的；绘画似的
longitudinal,adj. 长度的，纵向的；经线的
transverse,"n. 横断面；贯轴；横肌
adj. 横向的；横断的；贯轴的"
Mercury,找不到解释
hydrogen,n.  氢
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
radio astronomer, 射电天文学家；射电天方学家；唯一地
uniquely,adv. 独特地；珍奇地
rational,"n. 有理数
adj. 合理的；理性的"
radio frequency,"na. 射(电)频(率)
 射频；无线电频率；无线电射频"
cm,找不到解释
megacycle,n. 兆周; 巨旋回; 兆赫
emission,n. （光、热等的）发射，散发；喷射；发行
interstellar,adj.  星际的
rendezvous,"n. 约会；约会地点；集结地
vi. 会合；约会
vt. 在指定地点与…相会"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
trivial,adj. 不重要的，琐碎的；琐细的
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
pristine,adj. 原始的，古时的；纯朴的
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
vernacular,"n. 本地话，方言；动植物的俗名
adj. 本国的；地方的；用本地语写成的"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
preferential,adj. 优先的；选择的；特惠的；先取的
controversial,adj. 有争议的；有争论的
cactus,n.  仙人掌
termite,n.  白蚁
variant,"n. 变体；转化
adj. 不同的；多样的"
barbarian,"n. 野蛮人
adj. 野蛮的；未开化的"
pagan,"adj. 异教的；异教徒的
n. 异教徒；无宗教信仰者"
sophistication,n. 复杂；诡辩；老于世故；有教养
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
supernatural,"n. 超自然现象；不可思议的事
adj. 超自然的；神奇的，不可思议的"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
mosquito,n. 蚊子
subdue,vt. 征服；抑制；减轻
drainage,n. 排水；排水系统；污水；排水面积
envision,vt. 想象；预想
Morocco,n. 摩洛哥（非洲一国家名）； 摩洛哥皮革
latitude,n. 纬度；界限；活动范围
heretic,"adj. 异端的；异教的
n. 异教徒，异端者"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
psychologist,n. 心理学家，心理学者
spasm,n.  痉挛；抽搐；一阵发作
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
insinuate,"vt. 暗示；使逐渐而巧妙地取得；使迂回地潜入
vi. 暗讽；说含沙射影的话"
convulsive,adj. 抽搐的；惊厥的；震动的；起痉挛的
illumination,n. 照明； 照度；启发；灯饰（需用复数）；阐明
undue,adj. 过度的，过分的；不适当的；未到期的
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
recuperation,n. 恢复；复原
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
sedulously,adv. 孜孜不倦地; 刻意
vivify,vt. 使生动；使活跃；给与生气
aggravate,vt. 加重；使恶化；激怒
trifling,"adj. 微不足道的；轻浮的
v. 浪费，闲聊（trifle的现在分词）"
gratify,vt. 使满足；使满意，使高兴
caprice,n. 任性，反复无常；随想曲，怪想
satiation,n. 饱满；饱食；满足；厌腻
frantically,adv. 疯狂似地；狂暴地
avenge,"vt. 替…报仇
vi. 报复，报仇"
boredom,n. 厌倦；令人厌烦的事物
clatter,"n. 哗啦声；嘈杂的谈笑声；咔嗒声
vi. 发出哗啦声；喧闹的谈笑
vt. 使卡搭卡搭的响"
sustenance,n. 食物；生计；支持
appetite,n. 食欲；嗜好
grudge,"n. 怨恨；恶意；妒忌
vt. 怀恨；吝惜；妒忌；不情愿做"
absorbing,"v. 吸收（absorb的ing形式）
adj. 吸引人的；极有趣的"
banish,vt. 放逐；驱逐
assumption,n. 假定；设想；担任；采取
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
cynic,"adj. 犬儒学派的
n. 愤世嫉俗者；犬儒学派的人"
sociologist,n. 社会学家
shun,vt. 避开，避免；回避
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
chambermaid,n. 女服务员；家庭女仆
boo,"n. 嘘声
vt. 嘘；向…喝倒采
int. （表示不满、轻蔑等）嘘
vi. 发出嘘声"
maître d'hôtel,找不到解释
snobbery,n. 势利，谄上欺下；摆绅士架子；势利的行为或语言
hierarchy,n. 层级；等级制度
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
inclement,adj. 险恶的；气候严酷的；狂风暴雨的
package tour,"n. 包价旅游（费用固定、一切由旅行社代办的度假旅游）
 跟团旅游；套装行程；包办旅行"
insularity,n. （思想、观点等）偏狭，性僵化；岛国性质（或状态）；岛屿生活状况，与外界隔绝的生活状况
cater,vt. 投合，迎合；满足需要；提供饮食及服务
exclusively,adv. 唯一地；专有地；排外地
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
preponderance,n. 优势；多数；占优势
overwhelmingly,adv. 压倒性地；不可抵抗地
patronage,n. 赞助；光顾；任免权
sauerkraut,n. 一种德国泡菜
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
municipality,n. 市民；市政当局；自治市或区
itinerant,"n. 巡回者；行商
adj. 巡回的；流动的"
heath,"n. 石南，石南植物；荒野
adj. 杜鹃花科木本植物的"
alienate,vt. 使疏远，离间；让与
eternal,adj. 永恒的；不朽的
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
tipster,n. 情报贩子；密报者
Las Vegas,"n. 拉斯维加斯；拉斯维加斯
 拉斯韦加斯；美国拉斯维加斯；赌城拉斯维加斯"
fritter,"n. 细片；屑；带馅油炸面团
vi. 浪费；减少；消散
vt. 浪费；细切；剁碎"
reputable,adj. 声誉好的；受尊敬的；卓越的
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
priority,n. 优先；优先权； 优先次序；优先考虑的事
gilt,"n. 镀金；小母猪；眩目的外表
v. 镀金（gild的过去式和过去分词）
adj. 镀金的"
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
sanguine,"n. 血红色
adj. 乐观的；满怀希望的；面色红润的
vt. 血染；以血沾污"
heady,adj. 兴奋的；任性的；性急的；顽固的；使人头晕的；令人陶醉的
alongside,"prep. 在……旁边
adv. 在旁边"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
