gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
medal,n. 勋章，奖章；纪念章
badly,adv. 非常，很；严重地，厉害地；恶劣地
able,adj. 能； 有能力的；能干的
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
freestyle,"n. 自由式
adj. 自由式的
adv. 自由地；随心所欲地"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
swimmer,n. 游泳者
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
successful,adj. 成功的；一帆风顺的
Jamaican,找不到解释
widely,adv. 广泛地
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
toothache,n.  牙痛
dentist,"n. 牙科医生
牙医诊所"
backache,n. 背痛；腰痛
headache,n. 头痛；麻烦；令人头痛之事
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
stomachache,n. 腹痛，肚子痛；胃痛
have a cold,"na. 伤风
 感冒；患感冒；受凉"
coffee,n. 咖啡；咖啡豆；咖啡色
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
hey,"n. 干草（等于hay）
int. 喂！（引起注意等）；你好！（表示问候）"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
flu,n. 流感
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
suggestion,n. 建议；示意；微量，细微的迹象
day and night, 夜以继日地， 日夜; 不舍昼夜; 日日夜夜; 白天黑夜
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
lie down,"v. 躺下；不反抗；屈服；顺从
 躺下不干；躺下来；躺倒"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
skateboard,"n. 溜冰板
vi. 用滑板滑行"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
X-ray,找不到解释
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
sincerely,adv. 真诚地；由衷地，诚恳地
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
worry about,"v. 发愁；担忧；为…发愁；替…担忧
 担心；烦恼；为……担心"
advice,n. 建议；忠告；劝告；通知
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
dustbin,n. 垃圾箱；吃货
fingernail,n. 手指甲
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
cancer, 巨蟹座
energy,n.  能量；精力；活力；精神
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
tomato,n. 番茄，西红柿
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
wheat,n. 小麦；小麦色
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
illness,n. 病；疾病
weak,adj.  疲软的；虚弱的；无力的；不牢固的
cream,n. 奶油，乳脂；精华；面霜；乳酪
ice cream,"n. 冰淇淋
 冰激凌；雪糕；冰激淋"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
childhood,n. 童年时期；幼年时代
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
watermelon,n. 西瓜
potato,n.  土豆， 马铃薯
potato chips,n. 马铃薯片; 炸土豆片( potato chip的名词复数 )
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
strawberry,n. 草莓；草莓色
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
biscuit,n. 小点心，饼干
