pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
pick up the phone, 拿起电话；接电话；接起电话
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
area,n. 区域，地区；面积；范围
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
window,n. 窗；窗口；窗户
flashlight,n. 手电筒；闪光灯
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
fall asleep,"na. 入睡
 睡着；睡着了；睡觉"
die down,"na. 殉国
 平息；变弱；渐渐消失"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
fallen,"v. 落下；跌倒（fall的过去分词）
adj. 堕落的；落下来的；陷落的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
have a look,"v. 看一看
 看一下；瞧一瞧；看看"
icy,adj. 冰冷的；冷淡的；结满冰的
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
make one's way,"na. 前往；发迹
 前进；行进；走去"
passage,n. 一段（文章）；走廊；通路
pupil,n. 学生； 瞳孔；未成年人
completely,adv. 完全地，彻底地；完整地
shocked,"v. 使震动（shock的过去式）
adj. 震惊的；震撼的"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
in silence,"na. 沉默着
 沉默地；静静地；沉默不语"
recently,adv. 最近；新近
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
terrorist,n. 恐怖主义者，恐怖分子
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
at first,"na. 首先
 起先；最初；起初"
truth,n. 真理；事实；诚实；实质
Allen,找不到解释
Martin Luther King, 马丁·路德·金；金恩博士；马丁路德金恩
Alabama,n. 阿拉巴马州（美国州名）
Animal Helpline,找不到解释
World Trade Center,"n. 世界贸易中心
 世贸中心；纽约世界贸易中心；世贸大厦"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
