eat breakfast, 吃早饭；吃早餐；食早餐
take turns,"na. 替换
 轮流；轮流换班；轮流做某事"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
its,pron. 它的
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
anything,pron. 任何事
else,"adj. 别的；其他的
adv. 其他；否则；另外"
exhibition,n. 展览，显示；展览会；展览品
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
have a look,"v. 看一看
 看一下；瞧一瞧；看看"
sushi,n. 寿司（生鱼片冷饭团）
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
