restaurant,n. 餐馆； 饭店
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
storybook,n. 故事书；小说
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
schoolbag,n. 书包
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
illness,n. 病；疾病
tummy,n. 肚子；胃
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
leg,n. 腿；支柱
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
have a fever,"n. 发烧
 发热；发烧了；发高烧"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
have a cold,"na. 伤风
 感冒；患感冒；受凉"
have a headache, 头痛；头疼；患头痛
have a toothache, 牙疼；牙痛；患牙痛
ticket,vt. 加标签于；指派；对…开出交通违规罚单
window,n. 窗；窗口；窗户
sit,"vi. 坐；位于
vt. 使就座"
