refractory,"n. 倔强的人；耐火物质
adj. 难治的；难熔的；不听话的"
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
genially,adv. 和蔼地；快活地；亲切地
do with sth.,
could do with sth.,
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
amicably,adv. 友善地
elm,"n.  榆树；榆木
adj. 榆树的；榆木的"
radioactivity,n. 放射性； 放射能力； 放射现象
single-minded,adj. 专心的；纯真的；真诚的；率直的
made-up,adj. 捏造的；制成的；化妆过的
exotic,adj. 异国的；外来的；异国情调的
encircle,vt. 包围；围绕；环绕
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
atomic,adj. 原子的，原子能的；微粒子的
pitiful,adj. 可怜的，令人同情的
tuberculosis,n. 肺结核；结核病
governess,n. 女家庭教师
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
disinherit,vt. 剥夺…的继承权（过去式disinherited，过去分词disinherited，现在分词disinheriting，第三人称单数disinherits，名词disinheritance）
nursemaid,n. 育婴女佣
drag by,na. (时间)一点一点地挨过去
meager,"adj. 贫乏的；瘦的
n. 兆"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
vat,
glisten,"n. 闪光，闪耀
vi. 闪光，闪亮"
luminous,adj. 发光的；明亮的；清楚的
congeal,"vt. 使…凝结；使…冻结
vi. 凝结；凝固"
radium,n.  镭（88号元素符号Ra）
gritty,adj. 坚韧不拔的；有砂砾的；多沙的；像砂的
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
dank,adj. 潮湿的；阴湿的；透水的
prominent,adj. 突出的，显著的；杰出的；卓越的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
fete,"n. 祭祀；庆祝；节日；游乐会
vt. 宴请；招待"
acolyte,n. 侍僧；助手（指教士的）
homage,n. 敬意；尊敬；效忠
exposure,n. 暴露；曝光；揭露；陈列
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
defining,"v. 规定（define的ing形式）；给…下定义；表明特征
adj. 最典型的；起决定性作用的"
inconsolable,adj. 无法安慰的（名词inconsolability，副词inconsolably）；极为伤心的
metamorphosis,n. 变形；变质
cape,n.  海角，岬；披肩
polonium,n.  钋（一种放射性元素）
onset,n. 开始，着手；发作；攻击，进攻
X-ray,
aplastic,adj.  发育不全的；无形的；不能再生组织的
pernicious,adj. 有害的；恶性的；致命的；险恶的
anemia,n. 贫血；贫血症
forth,adv. 向前，向外；自…以后
sentiment,n. 感情，情绪；情操；观点；多愁善感
magnitude,n. 大小；量级； 震级；重要；光度
keep back,"na. 隐瞒；阻止；阻止向前；忍住
 留下；留在后面；保留"
treason,n.  叛国罪；不忠
disloyalty,n. 不忠实；不义，不贞；背信弃义
majesty,n. 威严；最高权威，王权；雄伟；权威
revere,vt. 敬畏；尊敬；崇敬
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
disposed,"v. 处理；配置；使适应（dispose的过去分词）；使有倾向
adj. 有…倾向的；打算做…的；有某种健康状态的"
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
provide for,"v. 为…作准备
 为…提供；供养；赡养"
solace,"n. 安慰；慰藉；安慰之物
vt. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
snare,"n. 陷阱；圈套； 勒除器
vt. 捕捉；诱惑"
comport,"vt. 行为；举动
vi. 相称；适合；一致"
call in,"na. 招；叫进；引入；调入
 召来；来访；收回"
subjugation,n. 征服；镇压；克制
martial,adj. 军事的；战争的；尚武的
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
entreaty,n. 恳求；乞求
supplication,n. 恳求；祈祷
beseech,vt. 恳求，哀求；乞求，急切地要求得到
avert,vt. 避免，防止；转移
remonstrate,"vt. 责备，告诫；抗议；表示异议
vi. 抗议，反对；进谏；告诫"
prostrate,"adj. 俯卧的；拜倒的；降伏的；沮丧的
vt. 使…屈服；将…弄倒；使…俯伏"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
implore,"vt. 恳求或乞求
vi. 恳求或乞求"
interposition,n. 干涉，介入；插入，放入
tyrannical,adj. 残暴的；暴君的；专横的
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
spurn,"n. 藐视，摒弃；踢开
vi. 摒弃；藐视
vt. 唾弃；冷落；一脚踢开"
inviolate,adj. 无污点的；未亵渎的，未受侵犯的
inestimable,adj. 无价的；难以估计的
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
basely,adv. 下贱地，卑鄙地
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
adversary,n. 对手；敌手
irresolution,n. 优柔寡断；犹豫不决
effectual,adj. 奏效的；会应验的；有法律效力的
supinely,adv. 掌心向上地，仰卧地
delusive,adj. 欺瞒的；使迷惑的
phantom,"n. 幽灵；幻影；虚位
adj. 幽灵的；幻觉的；有名无实的"
vigilant,adj. 警惕的；警醒的；注意的；警戒的
clanging,"adj. 发出叮当声的
v. 发铿锵声（clang的现在分词）"
extenuate,vt. 减轻；低估；为…找借口；使人原谅
gale,n.  大风，狂风；（突发的）一阵
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
brethren,n.<旧>兄弟们，同胞；同党，会友
Senate,
