take a test, 参加考试；参加测验；测试一下
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
during,prep. 在…的时候，在…的期间
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
the Great Wall of China,
do tai chi,
never,adv. 从未；决不
sometimes,adv. 有时，间或
usually,adv. 通常，经常
always,adv. 永远，一直；总是；常常
subway,"n. 地铁；地道
vi. 乘地铁"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
woods,"n.  树林；森林；木头（wood的复数）
v. 供以木材；用森林覆盖（wood的第三人称单数）"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
candies,n. 糖果，果饵（candy的复数）
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
lost,"adj. 失去的；丧失的；迷惑的
v. 遗失（lose的过去分词）；失败"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
twice,adv. 两次；两倍
three times, 最好的时光；三次；三倍
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
go hiking, 去远足；去徒步旅行；去徒步远足
go ice-skating,
go swimming,"na. 去游泳
 去钓鱼；去做某事；定期游泳"
often,adv. 常常，时常
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
activity,n. 活动；行动；活跃
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
teeth,n. 牙齿
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
schoolbag,n. 书包
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
 拿出；去掉；拿出来"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
