was,be的第一和第三人称单数过去式
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
Sports Day,
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
long jump,"n. 跳远
 长跳；长跳转；长转移"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
high jump,"n. 跳高
 高跳；跳远；高台跳高"
proud,adj. 自豪的；得意的；自负的
fall down,"na. (向下游)流下；失败；跌倒；同“fall”
 倒下；摔倒；倒塌"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
ran,v. 跑（run的过去式）
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
fourth,"num. 第四
n. 第四，月的第四日；四分之一
adj. 第四的，第四个的；四分之一的"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
twelfth,"n. 第十二；月的第十二日
adj. 第十二的，第十二个的；十二分之一的"
would,"aux. 将，将要；愿意
v. will的过去式"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
also,"conj. 并且；另外
adv. 也；而且；同样"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
fifteenth,"adj. 第十五的；十五分之一的
num. 第十五"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
river,n. 河，江
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
lucky,adj. 幸运的；侥幸的
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
difficult,adj. 困难的；不随和的；执拗的
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
Mrs.,
