grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
song,n. 歌曲；歌唱；诗歌；鸣声
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
play the piano,"na. 弹钢琴
 演奏钢琴；弹琴；弹钢琴搭配"
play tennis, 打网球；玩网球；打球
play the violin, 拉小提琴；弹小提琴；演奏小提琴
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
