song,n. 歌曲；歌唱；诗歌；鸣声
let's,让我们（let us的简写）
let us, 让我们；让我们自己；让我们一起
put on,"na. 假话
 穿上；上演；戴上"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
trousers,n. 裤子，长裤
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
shirt,n. 衬衫；汗衫，内衣
look at,"na. 看；考虑
 看着；注视；瞧"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
can't,abbr. 不能（can not）
cannot,v. 不能；无法
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
photo,n. 照片
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
