take inventory,"un. 盘存
 制作清单；盘点；清点盘存"
metal detector,"n. 金属矿藏探测器；（机场等处的）金属物品检测机
 金属探测器；金属探测仪；金属检测器"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
mood,n. 情绪，语气；心境；气氛
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
nursery school,"n. 幼儿园
 托儿所；保育学校；保育院"
optimist,n. 乐观主义者；乐天派
performance,n. 性能；绩效；表演；执行；表现
postcard,n. 明信片
printer,n.  打印机；印刷工；印花工
relatives,n. 亲属； 关系词（relative的复数）
rumor,"n. 谣言；传闻
vt. 谣传；传说"
school play, 校园剧；学校的表演；舞台剧
snowman,n. 雪人
traffic light,"n. 交通信号灯；红绿灯
 交通灯；交通号志；爱情信号灯"
wedding dress,"n. 婚纱
 结婚礼服；婚纱礼服；新娘礼服"
close down,"v. 关闭；关门；倒闭；歇业
 停业；查封；封闭"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
get searched,
get stopped,
hand in,"na. 交进
 上交；交上；递交"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
run by, 运行者；解释给…听；问…意见
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
 关机；停工；使关闭"
take lessons,"v. 补习
 上课；听课；跟人学习"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
convinced,"v. 使确信（convince的过去分词）；说服
adj. 确信的；深信的"
irritable,adj. 过敏的；急躁的；易怒的
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
miserable,adj. 悲惨的；痛苦的；卑鄙的
prepared,"v. 准备（prepare的过去分词）
adj. 准备好的；精制的"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
have a hard day,
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
 不合适；格格不入的；不恰当"
put up for sale,"na. 拿出拍卖
 拿出销售；可供出售"
run out of,"na. 用光…
 用完；用尽；耗尽"
set on fire,"na. 放火；放火烧；使兴奋
 焚烧；使燃烧；纵火"
under the weather,"na. 身体不适；不太舒服
 身体不舒服；生病；有病"
bride,n. 新娘；姑娘，女朋友
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
interviewer,n. 采访者；会见者；面谈者；进行面试者
movie star,"na. (电)影(明)星
 电影明星；影星；影视明星"
school-bus driver,
college entrance exam,
dictionary,n. 字典；词典
engine,n. 引擎，发动机；机车，火车头；工具
lion,n. 狮子；名人；勇猛的人；社交场合的名流
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
navy,"n. 海军
深蓝色的"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
puppy,n. 小狗，幼犬
radiator,n. 散热器；暖气片；辐射体
robbery,n. 抢劫，盗窃；抢掠
advice,n. 建议；忠告；劝告；通知
bride,n. 新娘；姑娘，女朋友
college entrance exam,
dictionary,n. 字典；词典
engine,n. 引擎，发动机；机车，火车头；工具
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
interviewer,n. 采访者；会见者；面谈者；进行面试者
lion,n. 狮子；名人；勇猛的人；社交场合的名流
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
movie star,"na. (电)影(明)星
 电影明星；影星；影视明星"
navy,"n. 海军
深蓝色的"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
puppy,n. 小狗，幼犬
radiator,n. 散热器；暖气片；辐射体
robber,n. 强盗；盗贼
school-bus driver,
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
depend,vi. 依赖，依靠；取决于；相信，信赖
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
leave on,"让…留在原处; 让(火)燃着, 让…开着"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
confident,adj. 自信的；确信的
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
prepared,"v. 准备（prepare的过去分词）
adj. 准备好的；精制的"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
reassured,"v. 使安心；再次保证（reassure的过去式）
adj. 使消除疑虑的；使放心的"
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
dolphin,n. 海豚
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
memo,n. 备忘录
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
spare tire,"n. 备胎；游泳圈
 备用轮胎；备用胎；备用车胎"
toaster,n. 烤面包器，烤箱；祝酒人；烤面包的人
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
overcooked,"adj. 煮得过久的
v. 煮得过久；焙烧过度（overcook的过去分词）"
punctual,adj. 准时的，守时的；精确的
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
allergic,adj. 对…过敏的；对…极讨厌的
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
considerate,adj. 体贴的；体谅的；考虑周到的
cooperative,"n. 合作社
adj. 合作的；合作社的"
dedicated,"adj. 专用的；专注的；献身的
v. 以…奉献；把…用于（dedicate的过去式和过去分词）"
efficient,adj. 有效率的；有能力的；生效的
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
famous,adj. 著名的；极好的，非常令人满意的
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
honest,adj. 诚实的，实在的；可靠的；坦率的
industrious,adj. 勤勉的
nervous,adj. 神经的；紧张不安的；强健有力的
online,"adj. 联机的；在线的
adv. 在线地"
overcooked,"adj. 煮得过久的
v. 煮得过久；焙烧过度（overcook的过去分词）"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
promoted,"n. 升迁
v. 促进（promote的过去式）；提升
adj. 晋升的"
punctual,adj. 准时的，守时的；精确的
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
shocked,"v. 使震动（shock的过去式）
adj. 震惊的；震撼的"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
unfair,adj. 不公平的，不公正的
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
accusation,n. 控告，指控；谴责
championship,n. 锦标赛；冠军称号；冠军的地位
common cold,"na. 感冒
 普通感冒；伤风；一般感冒"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
dolphin,n. 海豚
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
memo,n. 备忘录
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
Olympics,
performance,n. 性能；绩效；表演；执行；表现
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
SAT test score,
spare tire,"n. 备胎；游泳圈
 备用轮胎；备用胎；备用车胎"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
toaster,n. 烤面包器，烤箱；祝酒人；烤面包的人
vacation day, 带薪假期；假期日
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
wedding anniversary,"n. 结婚纪念日
 结婚周年纪念日；结婚周年赠言；结婚十周年纪念"
White House,
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
discover,"vi. 发现
vt. 发现；发觉"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
move out,"na. 搬出；开始行动
 搬出去；搬走；迁出"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
play frisbee,
skateboard,"n. 溜冰板
vi. 用滑板滑行"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
tie my shoes,
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
chicken pox,"na. 鸡痘
 水痘；水痘疫苗；小儿出水痘"
cockroach,n.  蟑螂
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
files,"n.  文件； 文档（file的复数）
v. 提出（file的第三人称单数）；发送；汇订"
hamster,n. 仓鼠；仓鼠毛皮
income tax return, 所得税申报表；所得税申报书；报税单
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
passport,n. 护照，通行证；手段
pet food,"un. 玩赏动物食品
 宠物食品；宠物饲料；宠物食物"
satellite dish,"n. 卫星电视碟形天线
 卫星天线；碟形卫星天线；圆盘式卫星电视天线"
scrap paper,"n. （散的）便条纸
 废纸；纸碎；草稿纸"
wallpaper,"n.  壁纸，墙纸
vi. 贴墙纸，贴壁纸
vt. 贴墙纸于，贴壁纸于"
wisdom tooth,"n. 智齿；智牙
 智慧齿；真牙；智齿也叫智慧齿"
advice,n. 建议；忠告；劝告；通知
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
chicken pox,"na. 鸡痘
 水痘；水痘疫苗；小儿出水痘"
cockroach,n.  蟑螂
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
hamster,n. 仓鼠；仓鼠毛皮
income tax return, 所得税申报表；所得税申报书；报税单
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
passport,n. 护照，通行证；手段
pet food,"un. 玩赏动物食品
 宠物食品；宠物饲料；宠物食物"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
repairs,"n. 修理； 修理费；备件；修理工作（repair的复数形式）
v. 修理；恢复（repair的三单形式）；弥补；纠正"
satellite dish,"n. 卫星电视碟形天线
 卫星天线；碟形卫星天线；圆盘式卫星电视天线"
scrap paper,"n. （散的）便条纸
 废纸；纸碎；草稿纸"
ski instructor, 滑雪指导员；滑雪教练；胡子绅士
ski resort, 滑雪场；滑雪胜地；滑雪度假村
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
wallpaper,"n.  壁纸，墙纸
vi. 贴墙纸，贴壁纸
vt. 贴墙纸于，贴壁纸于"
wisdom tooth,"n. 智齿；智牙
 智慧齿；真牙；智齿也叫智慧齿"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
delete,vt. 删除
disconnect,"vt. 拆开，使分离
vi. 断开"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
lose my balance,"vi.跌倒,失去平衡,心慌意乱"
misunderstand,vt. 误解；误会
mix up,"na. 调匀；混淆；使结交坏朋友；猛烈互击
 混合；搞糊涂；混合在一起"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
rewind,"n. 重绕；倒带器
vt. 倒回；重绕
vi. 倒回；重绕"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
tip over,"na. 翻倒；搜查；同“tip”；死
 抢劫；倾翻试验；倾翻"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
