ability,n. 能力，能耐；才能
mathematics,n. 数学；数学运算
mediator,n. 调停者；传递者；中介物
mummy,n. 妈妈；木乃伊；干瘪的人
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
prom,n. 毕业舞会（为中学生举办的正式舞会或聚会，通常在高中学年即将结束时举行）
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
punctual,adj. 准时的，守时的；精确的
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
schoolchildren,n. 学童，学生( schoolchild的名词复数 )
self-assessment,n. 自我评估
semicircle,n. 半圆，半圆形
seminar,n. 讨论会，研讨班
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
theoretical,adj. 理论的；理论上的；假设的；推理的
thinking,"n. 思考；思想；想法；意见；见解
v. 思考（think的现在分词）
adj. 思考的；思想的；有理性的；好思考的"
T-shirt,n. 短袖圆领汗衫
weekday,n. 平日，普通日；工作日
zipper,  齐珀
alphabetical,adj. 字母的； 依字母顺序的
assignment,n. 分配；任务；作业；功课
frankly,adv. 真诚地，坦白地
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
pompom,n. 大型机关炮，高射机关炮
satchel,n. 书包；小背包
tetrahedron,n.  四面体
as a whole,"na. (作为一个)整体
 作为一个整体；总体上；作为整体"
be based on,"v. 以…为基础
 根据；基于；以……为根据"
be considered as,"v. 被认为是
 被看作；被看做；被认为是一个独立的学科"
be likely to do,
be strict with, 对……严格要求；对…要求严格；对某人要求严格
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
frankly speaking,"na. 老实说
 坦白地说；坦率地说；坦白说"
glance through,"na. 粗略一看
 浏览；匆匆看一遍；匆匆看一眼"
have fun,"na. 作乐
 玩得开心；玩得高兴；玩的开心"
in my view,"na. 照我看来
 在我看来；我认为；依我看"
It's a great pity that ...,
keep it up,"na. 加紧做；坚持做下去
 坚持下去；就这样，坚持下去；保持优秀成绩"
lay off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
look back at,
lose interest in,"v. 对…丧失信心
 对……失去兴趣；对什么丧失兴趣；对…缺乏兴趣"
open the floor,
play an important part in, 在…方面起重要作用；在……中起重要作用；在……起重要作用
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
school leaver,中学毕业生
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
sum up,"na. 概括；总结
 总计；归纳；总括"
talk sth. over with sb.,
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
to a certain extent,"na. “to a certain degree”的变体
 在一定程度上；在某种程度上；达到某种程度"
boarding school,"n. 寄宿学校
 寄宿制学校；寄宿中学；寄宿制私立中学"
master's degree, 硕士学位；硕士学位课程；研究生专业
abundant,adj. 丰富的；充裕的；盛产
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
authority,n. 权威；权力；当局
autonomous,adj. 自治的；自主的；自发的
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
cafeteria,n. 自助餐厅
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
convey,vt. 传达；运输；让与
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
cyclist,n. 骑自行车的人
departure,n. 离开；出发；违背
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enquiry,n.  询问， 询盘
expedition,n. 远征；探险队；迅速
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
gallon,n. 加仑（容量单位）
handful,n. 少数；一把；棘手事
horse-drawn,adj. 马拉的（车）；用马拖的
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
interval,n. 间隔；间距；幕间休息
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
ownership,n. 所有权；物主身份
passer-by,n. 过路人；经过的人
passport,n. 护照，通行证；手段
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
reservation,n. 预约，预订；保留
sideroad,"un. 旁路；支路；小路
n. 支线；叉道；旁路
 人行道；旁侧路；岔路"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stewardess,n. 女管家；女干事；女服务员
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
turning,"n. 转向；旋转；回转；转弯处
v. 旋转（turn的ing形式）"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
undertake,vt. 承担，保证；从事；同意；试图
unfortunately,adv. 不幸地
user-friendly,adj. 容易使用的
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
videophone,n. 电视电话
violate,vt. 违反；侵犯，妨碍；亵渎
visa,"n. 签证
vt. 签发签证"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
lane,n. 小巷； 航线；车道；罚球区
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
newsflash,n. 简明新闻
onwards,adv. 向前；在前面
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
sled,"n. 雪橇
vt. 用摘棉机摘；用雪橇运
vi. 乘雪橇；用雪橇运"
sleigh,"n. 雪橇
vt. 乘雪橇；用雪橇运输
vi. 乘雪橇；驾雪橇"
a handful of,"det. 一把；一小撮；少数
 少量的；少数的；少数几位"
as far as one is concerned,
at intervals,"na. 时时；处处；偶尔
 不时；每隔一会儿；每隔一段时间"
bachelor's degree, 学士学位；本科学位；本科学历
be occupied with,"v. 忙着
 忙于；忙于做；忙于某事物"
beaten track, 被踩出来的路；常规；惯例
bus stop,"n. 公共汽车停靠站
 公共汽车站；巴士站；公交车站"
day in and day out,"na. 日日夜夜
 日复一日；一天又一天；夜以继日"
decide on,"na. 决心
 决定；选定；决定某事"
decide upon,"na. 决定(采取某种行动)
 决定一个计划；选定；决心"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
 减少；减弱；下车"
fill in,"na. 填充；填写；同“fill”
 填满；填入；过门"
fit in with,"v. 符合
 适应；切合；适合"
link up,"na. 联合
 连接；沟通；把…连接起来"
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
put off,"na. 延期；辩解
 推迟；拖延；推延"
put sb. through,"na. 经受；测试；试验；使…通过
 接通；完成；把……接通"
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
 安顿下来；迁入；适应新环境"
side road,"n. 支线；叉道；旁路
 小路；支路；岔道"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
travel agent,"n. 旅行代办人；旅行代理商；旅行社
 旅行代办员；旅行社代理人；旅行代理人"
turn up,"v. 朝上翻；出现
 开大；找到；露面"
waiting room,"n. 候诊室；等候室；候车室
 候机室；等待室；侯诊室"
jet lag,"n. 时差反应；时差综合症
 飞行时差反应；时差失调；缘来有转机"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
adaptation,n. 适应；改编；改编本，改写本
alongside,"prep. 在……旁边
adv. 在旁边"
aluminum,n. 铝
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
Antarctic,
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
brink,n. （峭壁的）边缘
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
confiscate,"vt. 没收；充公；查抄
adj. 被没收的"
conservation,n. 保存，保持；保护
database,n. 数据库，资料库
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
diagram,"n. 图表；图解
vt. 用图解法表示"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
diverse,adj. 不同的；多种多样的；变化多的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
endanger,vt. 危及；使遭到危险
energy,n.  能量；精力；活力；精神
eruption,n. 爆发，喷发；火山灰；出疹
evolution,n. 演变；进化论；进展
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
fountain,n. 喷泉，泉水；源泉
giraffe,n. 长颈鹿
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
habitat,n.  栖息地，产地
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
locust,n.  蝗虫， 蚱蜢
mammal,n.  哺乳动物
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
performance-enhancing,增强性能的
poacher,n. 偷猎者；侵入者；炖蛋锅
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
protect,vt. 保护，防卫；警戒
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
sacred,adj. 神的；神圣的；宗教的；庄严的
seagull,n. 海鸥
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
squid,n. 鱿鱼；乌贼；枪乌贼
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
typhoon,n.  台风
unconditionally,adv. 无条件地
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
amphibious,adj.  两栖的，水陆两用的；具有双重性的
antelope,n. 羚羊；羚羊皮革
aquarium,n. 水族馆；养鱼池；玻璃缸
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
baleen,n. 鲸须
biodiversity,n. 生物多样性
bison,n. 北美野牛；欧洲野牛
blow-hole,adj. （隧道的）通风口； （海豹等用以呼吸的）冰窟窿； （鲸鱼的）鼻孔
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
driftnet, 流网
eel,n. 鳗鱼；鳝鱼
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
enhance,vt. 提高；加强；增加
geology,n. 地质学；地质情况
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
harpoon,"n. 鱼叉
vt. 用鱼叉叉；用鱼叉捕获"
hornbeam,n. 角树材；角树；鹅耳枥
ibis,n. 朱鹭
iceberg,n.  冰山；显露部分
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
leopard,n. 豹；美洲豹
meantime,"n. 其时，其间
adv. 同时；其间"
migration,n. 迁移；移民；移动
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
molten,"adj. 熔化的；铸造的；炽热的
v. 换毛；脱毛（molt的过去分词）"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
overboard,"adv. 自船上落下；向船外
adj. 极其热心的；全身心投入的"
persuasion,n. 说服；说服力；信念；派别
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
snorkel,"n. 通气管；潜艇换气装置
vi. 用水下通气管潜航"
soundtrack,n. 声带；声道；声迹；电影配音
spectacular,adj. 壮观的，惊人的；公开展示的
tabby,"n. 平纹；斑猫；长舌妇
adj. 起波纹的；有斑纹的
vt. 使起波纹"
threat,n. 威胁，恐吓；凶兆
tsunami,n. 海啸
turtle,n. 龟，甲鱼；海龟
volcanic,"n. 火山岩
adj. 火山的；猛烈的；易突然发作的"
volcanology,n. 火山学
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
at risk,"un. 担风险
 有危险；在危险中；处于危险中"
be concerned about sth.,
be aware of,"na. 知道
 意识到；觉察；了解"
become aware of,"na. 发觉
 注意到；开始意识到；知道"
be scared to death, 吓得要死；害怕得要命；被吓死
burn to the ground,"na. 被烧成平地
 烧毁；全部焚毁；彻底毁灭"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
 夺走；携走；拿走"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
dry out, （使）变干， （使）干涸; <非正>（使）戒（酒、毒等）; 晾干
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
 枯竭；干透；乾涸"
help out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
help ... out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
in need of,"adj. 需要
 急需；缺少；有…的需要"
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
make one's way,"na. 前往；发迹
 前进；行进；走去"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
stop sth. in its tracks, 停在路上不走了
straight away,"adv. 马上
 立刻；立刻地；毫不犹豫地"
track and field,"n. 田径运动
 田径赛；田径场；田径类"
upside down,"adv. 颠倒；倒转；翻转
 颠倒世界；逆世界；上下颠倒"
vary from ... to ...,
volcanic eruption,"un. 火山爆发；火山喷发
 火山喷发作用；火山大爆发；火山暴发"
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
changeable,adj. 无常的；可改变的；易变的；不定的
circumstance,n. 环境，情况；事件；境遇
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
duty,n. 责任； 关税；职务
ecology,n. 生态学；社会生态学
effort,n. 努力；成就
environmental,adj. 环境的，周围的；有关环境的
especially,adv. 特别；尤其；格外
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
illegally,adv. 非法地
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
irrigation,n. 灌溉； 冲洗；冲洗法
low-carbon,adj. 低碳（的），含碳低的；低碳
madam,n. 夫人；女士；鸨母
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposed,"adj. 相反的；敌对的
v. 反对（oppose的过去分词）；使对立"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
prairie,n. 大草原；牧场
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
rainfall,n. 降雨；降雨量
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
redirect,"n. 再直接询问
vt. 使改方向；重新寄送
adj. 再直接的"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
restrict,vt. 限制；约束；限定
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
seafood,n. 海鲜；海味；海产食品
separation,n. 分离，分开；间隔，距离； 分居；缺口
sharpener,n. 卷笔刀； 磨具；研磨者
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
warehouse,n. 仓库；货栈；大商店
alligator,"n. 短吻鳄（产于美国及中国）；短吻鳄皮革；鳄口式工具
adj. 鳄鱼般的；鳄鱼皮革的；鳄鱼皮纹的
vi. 皱裂；裂开"
appliance,n. 器具；器械；装置
by-product,n. 副产品；附带产生的结果；意外收获
Celsius,
decibel,n. 分贝
dolphin,n. 海豚
drought,n. 干旱；缺乏
economical,adj. 经济的；节约的；合算的
enforce,vt. 实施，执行；强迫，强制
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
Fahrenheit,
famine,n. 饥荒；饥饿，奇缺
fashionable,adj. 流行的；时髦的；上流社会的
greenhouse,"n. 温室
造成温室效应的"
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
hectare,n. 公顷（等于1万平方米）
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
industrialisation,n. 工业化
landslide,"n.  山崩；大胜利
vi. 发生山崩；以压倒优势获胜"
measurement,n. 测量； 度量；尺寸；量度制
methane,n.  甲烷； 沼气
orangutan,n.  猩猩（等于orangoutang）
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
soundproof,"adj. 隔音的
vt. 使隔音；给装以隔音设备"
tusk,"n. 长牙；尖头，尖形物
vt. 以牙刺戳；以长牙掘"
and so on,"na. “And so forth”的变体
 等等；诸如此类；如此等等"
