unit,n. 单位，单元；装置； 部队；部件
lots of,"adj. 许多；很多
 大量；大量的；许多的"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
member,n. 成员；会员；议员
activity,n. 活动；行动；活跃
chess,n. 国际象棋，西洋棋
Chinese chess,"n. 象棋
 中国象棋；棋路-中国象棋；棋路之中国象棋"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
different,adj. 不同的；个别的，与众不同的
violin,n. 小提琴；小提琴手
have fun,"na. 作乐
 玩得开心；玩得高兴；玩的开心"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
knee,"n. 膝盖，膝
vt. 用膝盖碰"
at night,"na. 在黄昏时候；晚上
 在晚上；在夜里；在夜间"
in the middle, 在中间；在中部；夹在中间
grandchild,n. 孙子；孙女；外孙；外孙女
grandchildren,n. 孙子；孙（女），外孙（女）( grandchild的名词复数 )
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
go hiking, 去远足；去徒步旅行；去徒步远足
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
David,
Jim,
Kate,
Lily,
Ireland,n. 爱尔兰
Fred,
Sam,
Jane,
Jack,
Sarah,n. 莎拉（女子名）；萨拉（《圣经》中的人物）
Oscar,n. （美）奥斯卡金像奖；钱；奥斯卡（男子名）
Lucy,
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
dining hall,"na. 大餐厅
 食堂；饭厅；饭堂"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
across,"prep. 穿过；横穿
adv. 横过；在对面"
across from,"na. 在…的正对面
 在……的对面；在……对面；在……对过"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
gym,n. 健身房；体育；体育馆
gymnasium,n. 体育馆；健身房
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
sports field,"un. 体育设施
 运动场；操场；体育场"
office,n. 办公室；政府机关；官职；营业处
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
whiteboard,n. 白色书写板
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
important,adj. 重要的，重大的；有地位的；有权力的
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
at the back, 后面；背后；在后面
at the back of,"na. 在…背后
 在…后面；在……背后；在……之后"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
bookcase,n.  书柜，书架
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
at school,"na. 在学校；在上课；在求学
 在上学；在校；在学校里"
different from,"n. 异于；和…不同
 不同于；与……不同；与……不相同"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
do exercises, 做练习；运动出汗法；做操
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
delicious,adj. 美味的；可口的
How about ...?,
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
similar,"n. 类似物
adj. 相似的"
similar to,"v. 与…类似
 相似；与……相似；与……类似"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
bye for now,
Flora,
biology,n. （一个地区全部的）生物；生物学
IT,
information technology,"n. 信息技术
 资讯科技；信息科技；资讯技术"
geography,n. 地理；地形
history,n. 历史，历史学；历史记录；来历
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
useful,adj. 有用的，有益的；有帮助的
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
good with, 善于使用；处理某物或对待某人；高考善于使用
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
help sb. with,"v. 帮助
 帮助做；帮助做某事；帮忙某人做"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
listen to,"v. 听
 倾听；收听；听从"
good at,"un. 擅长；一清二楚；拿手的；精明的
 擅长于；善于；你擅长的技能"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
AM,"abbr. 调幅
v. 是"
a.m.,abbr. 上午，午前（ante meridiem）
PM,"abbr. （拉）下午（Post Meridiem，等于afternoon）；调相（Phase Modulation）
abbr. 产品经理（Product Manager）"
p.m.,
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
excellent,adj. 卓越的；极好的；杰出的
instrument,n. 仪器；工具；乐器；手段；器械
singer,n. 歌手，歌唱家
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
in the future,"adv. 今后
 将来；在将来；在未来"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
in class,"na. 在上课；在上课中
 在课堂上；在课上；上课时"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
life,n. 生活，生存；寿命
scientist,n. 科学家
Baker,
Mike,
Davis,
Canada,n. 加拿大（北美洲国家）
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
choose,"vt. 选择，决定
vi. 选择，挑选"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
play Chinese chess,
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
news,n. 新闻，消息；新闻报导
musical,"adj. 音乐的；悦耳的
n. 音乐片"
musical instrument,"n. 乐器
 西式乐器；琴；音乐器材"
exactly,adv. 恰好地；正是；精确地；正确地
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
ability,n. 能力，能耐；才能
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
act out,"v. 演出
 表演；表演出来；把……表演出来"
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
 在家里；在国内；自在"
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
interested in,"un. 感兴趣；尽力；关心；对…关注
 对……感兴趣；兴趣于；对…有兴趣"
nature,n. 自然；性质；本性；种类
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
soon,adv. 快；不久，一会儿；立刻；宁愿
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
more than,"na. …以上；比…更
 多于；超过；不止"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
fall in love with,"na. 爱上
 爱上某人；与……相爱；爱上某物"
take photos, 照相；拍照；拍照片
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
insect,n. 昆虫；卑鄙的人
discover,"vi. 发现
vt. 发现；发觉"
wildlife,"n. 野生动植物
adj. 野生动植物的"
Linda,
Alice,
Bill,
Jenny,
make use of,"na. 使用
 利用；利用某事物；利用好时间"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
take a shower,"v. 洗个淋浴
 洗澡；洗淋浴；洗个澡"
get dressed,"v. 穿衣服
 穿好衣服；穿上衣服；打扮"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
teeth,n. 牙齿
duty,n. 责任； 关税；职务
on duty,"na. 在工作时间内；上班；值班
 值日；当班；在值班"
usually,adv. 通常，经常
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
reporter,n. 记者
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
homework,n. 家庭作业，课外作业
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
restaurant,n. 餐馆； 饭店
housework,n. 家务事
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
at weekends, 在周末；每逢周末；生在周末
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
daily routine,"na. 日常工作
 日常生活；例行公事；日常杂务"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
Finnish,"n. 芬兰人，芬兰语
adj. 芬兰的，芬兰语的"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
hockey,n. 曲棍球；冰球
ice hockey,"n. 冰球运动；冰上曲棍球
 冰上曲棍球赛；冰上曲棍球运动；冰球大国的风姿"
already,adv. 已经，早已；先前
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
prepare sth. for, 准备；为…作准备；为…做准备
Timo,
Halla,
Helsinki,n. 赫尔辛基（芬兰首都）
Finland,n. 芬兰（欧洲）
home economics,"n. 家政学
 家庭经济；家政课；家庭经济学"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
sale,n. 销售；出售；拍卖；销售额；廉价出售
kilo,n. 千克
kilogram,n. 公斤；千克
kilogramme,n. 公斤; 千克
kilos,n. 公斤；千克
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
for example,"na. 例如
 举例；比如；比如说"
language,n. 语言；语言文字；表达能力
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
meaningful,adj. 有意义的；意味深长的
make a wish, 许愿；许个愿；许一个愿望
celebration,n. 庆典，庆祝会；庆祝；颂扬
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
symbol,n. 象征；符号；标志
take a photo,"v. 拍照
 照相；拍照片；拍一张照片"
village,n. 村庄；村民；（动物的）群落
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
blow out,"na. 取消；停止鼓风；(吹)胀；吹破
 吹灭；吹熄；凶线"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
height,n. 高地；高度；身高；顶点
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
next time,"adv. 下一次
 下次；下次见；下次吧"
whom,pron. 谁（who的宾格）
William Shakespeare, 莎士比亚；威廉·莎士比亚；大文豪莎士比亚
Florence Nightingale, 南丁格尔；弗洛伦斯·南丁格尔；弗罗伦斯·南丁格尔
National Day,
CPC Founding Day,
PLA Day,
Judy,n. （尤指轻佻的）姑娘
Clark,
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
you,pron. 你；你们
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
hi,int. 嗨！（表示问候或用以唤起注意）
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
morning,n. 早晨；黎明；初期
and,conj. 和，与；就；而且；但是；然后
Ms,
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
sit,"vi. 坐；位于
vt. 使就座"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
I,"n. 碘元素；英语字母I
pron. 我"
am,
thank,"n. 感谢
vt. 感谢
int. 谢谢"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
is,"v. 是（be的三单形式）
n. 存在"
nice,adj. 精密的；美好的；细微的；和蔼的
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
your,pron. 你的，你们的
too,adv. 太；也；很；还；非常；过度
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
goodbye,"int. 再见
放弃
告别"
may,aux. 可以，能够；可能，也许；祝，愿；会，能
have,"aux. 已经
vt. 有；让；拿；从事；允许"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
us,pron. 我们
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
schoolbag,n. 书包
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
ruler,n. 尺；统治者； 划线板，划线的人
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
trousers,n. 裤子，长裤
they,pron. 他们；它们；她们
