Trojan,"n. 勇士；特洛伊人；勤勉的人
adj. 特洛伊的；特洛伊人的"
Ithaca,
Telemachus,n. 忒勒马科斯(Odysseus 和Penelope之子)
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
violate,vt. 违反；侵犯，妨碍；亵渎
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
Penelope,
statesman,n. 政治家；国务活动家
statesmanlike,adj. 与政治家相称的；有政治家风度的
unconditional,adj. 无条件的；绝对的；无限制的
Cyclops,
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
merciful,adj. 仁慈的；慈悲的；宽容的
at the crack of dawn, 在破晓时；大清早；破晓时分
quick as a flash, 疾速之风；快如闪电一般；疾速如电
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
a wolf in sheep's clothing,"na. 披着羊皮的狼；口蜜腹剑的人；披着羊皮的豺狼；伪君子
 披著羊皮的狼；貌善心恶的人；笑里藏刀的人"
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
dead to the world,"na. 对世事不闻不问；熟睡；烂醉
 睡得很香；意外的访客；不省人事"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
agony,n. 苦恼；极大的痛苦；临死的挣扎
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
Circe,
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
coarse,adj. 粗糙的；粗俗的；下等的
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
trough,n. 水槽，水槽；低谷期；饲料槽；低气压
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
saucer,n. 茶托，浅碟；浅碟形物；眼睛
circus,n. 马戏；马戏团
freeway,n. 高速公路
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
hydrogen,n.  氢
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
moustache,n. 小胡子；髭；触须
mustard,n. 芥末；芥菜；深黄色；强烈的兴趣
Theseus,n. 忒修斯(希腊神话人物)
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
tournament,n. 锦标赛，联赛；比赛
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
walnut,"n. 胡桃；胡桃木
adj. 胡桃科植物的"
transparent,adj. 透明的；显然的；坦率的；易懂的
transparently,adv. 显然地，易觉察地；明亮地
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
zoom in on, 放大镜；给…特写
insignificant,adj. 无关紧要的
Sinis,
Procrustes,n. 普罗克汝斯忒斯(希腊神话人物)
Crete,
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
Perseus,"n. 珀尔修斯(希腊神话人物), 英仙(星)座"
vice versa,"adv. 反之亦然；反过来也一样
 小爸爸大儿子；反过来亦然；反过来的"
faced with,"un. 面临
 面对；那个傻瓜面临着麻烦；表示面对"
be faced with,"v. 面临
 面对；面临着；遇到"
scholarship,n. 奖学金；学识，学问
in disbelief, 不相信；怀疑；怀疑地
drop into,"na. 落入；偶然进入；不知不觉地养成(习惯等)
 跌入；滴入；掉进"
unsettling,"adj. 使人不安的；（消息）扰乱的
v. 动乱不定；心绪不宁（unsettle的ing形式）"
dozens of,"adj. 许多
 几十；几十个；很多"
now and again, 不时地；时而；偶尔
expectantly,adv. 期望地，期待地
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
co-operate,vi. 合作
preference,n. 偏爱，倾向；优先权
pleasurable,adj. 快乐的；心情舒畅的；令人愉快的
anticipation,n. 希望；预感；先发制人；预支
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
arithmetic,n. 算术，算法
algebra,n. 代数学
interpersonal,adj. 人际的；人与人之间的
