cousin,n. 堂兄弟姊妹；表兄弟姊妹
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
What's wrong with you?,
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
stomachache,n. 腹痛，肚子痛；胃痛
safety first,"na. 安全第一
 安全至上；第一安全；最重要安全"
helmet,n. 钢盔，头盔
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
headache,n. 头痛；麻烦；令人头痛之事
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
take care,"v. 当心；留心
 保重；小心；注意"
toothache,n.  牙痛
take some medicine, 吃药；吃一些药；吃些药
feel well, 感觉舒服；感觉好；身体好
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
report card,"na. (学生)成绩报告单
 成绩单；报告卡；成绩报告卡"
be great at,"善于,精于,以…见长"
roller skating,"un. 滑旱冰
 轮滑；轮滑鞋；溜冰"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
badminton,n. 羽毛球
tennis,n. 网球（运动）
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
computer game,"n. 电脑游戏
 电子游戏；计算机游戏；电子游戏机"
pop music,"n. 流行乐曲
 流行音乐；流行歌曲；通俗音乐"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
quietly,adv. 安静地；秘密地；平稳地
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
January,n. 一月
April,n. 四月
May,
February,n. 二月
March,
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
make a plan, 制定计划；做计划；制订计划
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
have a party, 聚会；举行晚会；开聚会
look forward to,"na. 盼望
 期待；期望；期盼"
August,
month,n. 月，一个月的时间
September,n. 九月
Mid-autumn Festival,
November,n. 十一月
firework,n. 烟火；激烈情绪
October,n.  十月
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
July,n. 七月
December,n. 十二月
Thanksgiving Day,"n. 感恩节；在美国；在加拿大
 加拿大感恩节；星期四是感恩节；星期四美国感恩节"
Independence Day,
Guy Fawkes Day, 福克斯日；英国烟火节；烟花节
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
important,adj. 重要的，重大的；有地位的；有权力的
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
lady,n. 女士，夫人；小姐；妻子
Tree-planting Day,
